 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Iteration time
      time      It. Time    Accumulated
  0.1000E-04  0.000000E+00  0.000000E+00
  0.2000E-04  0.294260E+02  0.294260E+02
  0.3000E-04  0.370700E+01  0.331330E+02
  0.4000E-04  0.382900E+01  0.369620E+02
  0.5000E-04  0.291570E+02  0.661190E+02
  0.6000E-04  0.398299E+01  0.701020E+02
  0.7000E-04  0.393300E+01  0.740350E+02
  0.8000E-04  0.294460E+02  0.103481E+03
  0.9000E-04  0.376001E+01  0.107241E+03
  0.1000E-03  0.384900E+01  0.111090E+03
  0.1100E-03  0.287130E+02  0.139803E+03
  0.1200E-03  0.433701E+01  0.144140E+03
  0.1300E-03  0.404399E+01  0.148184E+03
  0.1400E-03  0.293160E+02  0.177500E+03
  0.1500E-03  0.405200E+01  0.181552E+03
  0.1600E-03  0.401100E+01  0.185563E+03
  0.1700E-03  0.298460E+02  0.215409E+03
  0.1800E-03  0.430699E+01  0.219716E+03
  0.1900E-03  0.407901E+01  0.223795E+03
  0.2000E-03  0.294170E+02  0.253212E+03
  0.2100E-03  0.390799E+01  0.257120E+03
  0.2200E-03  0.382999E+01  0.260950E+03
  0.2300E-03  0.289610E+02  0.289911E+03
  0.2400E-03  0.363602E+01  0.293547E+03
  0.2500E-03  0.359698E+01  0.297144E+03
  0.2600E-03  0.132996E+00  0.297277E+03
  0.2700E-03  0.400085E-01  0.297317E+03
  0.2800E-03  0.410156E-01  0.297358E+03
  0.2900E-03  0.134003E+00  0.297492E+03
  0.3000E-03  0.390015E-01  0.297531E+03
  0.3100E-03  0.390015E-01  0.297570E+03
  0.3200E-03  0.133972E+00  0.297704E+03
  0.3300E-03  0.450134E-01  0.297749E+03
  0.3400E-03  0.379944E-01  0.297787E+03
  0.3500E-03  0.139008E+00  0.297926E+03
  0.3600E-03  0.499878E-01  0.297976E+03
  0.3700E-03  0.450134E-01  0.298021E+03
  0.3800E-03  0.160004E+00  0.298181E+03
  0.3900E-03  0.469971E-01  0.298228E+03
  0.4000E-03  0.409851E-01  0.298269E+03
  0.4100E-03  0.134003E+00  0.298403E+03
  0.4200E-03  0.450134E-01  0.298448E+03
  0.4300E-03  0.440063E-01  0.298492E+03
  0.4400E-03  0.130981E+00  0.298623E+03
  0.4500E-03  0.390015E-01  0.298662E+03
  0.4600E-03  0.440063E-01  0.298706E+03
  0.4700E-03  0.131989E+00  0.298838E+03
  0.4800E-03  0.429993E-01  0.298881E+03
  0.4900E-03  0.429993E-01  0.298924E+03
  0.5000E-03  0.135010E+00  0.299059E+03
  0.5100E-03  0.390015E-01  0.299098E+03
  0.5200E-03  0.450134E-01  0.299143E+03
  0.5300E-03  0.127991E+00  0.299271E+03
  0.5400E-03  0.369873E-01  0.299308E+03
  0.5500E-03  0.480042E-01  0.299356E+03
  0.5600E-03  0.134003E+00  0.299490E+03
  0.5700E-03  0.429993E-01  0.299533E+03
  0.5800E-03  0.419922E-01  0.299575E+03
  0.5900E-03  0.136017E+00  0.299711E+03
  0.6000E-03  0.449829E-01  0.299756E+03
  0.6100E-03  0.380249E-01  0.299794E+03
  0.6200E-03  0.133972E+00  0.299928E+03
  0.6300E-03  0.429993E-01  0.299971E+03
  0.6400E-03  0.390015E-01  0.300010E+03
  0.6500E-03  0.134003E+00  0.300144E+03
  0.6600E-03  0.380249E-01  0.300182E+03
  0.6700E-03  0.389709E-01  0.300221E+03
  0.6800E-03  0.146027E+00  0.300367E+03
  0.6900E-03  0.390015E-01  0.300406E+03
  0.7000E-03  0.429993E-01  0.300449E+03
  0.7100E-03  0.155975E+00  0.300605E+03
  0.7200E-03  0.490112E-01  0.300654E+03
  0.7300E-03  0.429993E-01  0.300697E+03
  0.7400E-03  0.130005E+00  0.300827E+03
  0.7500E-03  0.409851E-01  0.300868E+03
  0.7600E-03  0.410156E-01  0.300909E+03
  0.7700E-03  0.138000E+00  0.301047E+03
  0.7800E-03  0.379944E-01  0.301085E+03
  0.7900E-03  0.419922E-01  0.301127E+03
  0.8000E-03  0.139008E+00  0.301266E+03
  0.8100E-03  0.450134E-01  0.301311E+03
  0.8200E-03  0.409851E-01  0.301352E+03
  0.8300E-03  0.134003E+00  0.301486E+03
  0.8400E-03  0.400085E-01  0.301526E+03
  0.8500E-03  0.359802E-01  0.301562E+03
  0.8600E-03  0.131012E+00  0.301693E+03
  0.8700E-03  0.390015E-01  0.301732E+03
  0.8800E-03  0.400085E-01  0.301772E+03
  0.8900E-03  0.130981E+00  0.301903E+03
  0.9000E-03  0.390015E-01  0.301942E+03
  0.9100E-03  0.429993E-01  0.301985E+03
  0.9200E-03  0.132019E+00  0.302117E+03
  0.9300E-03  0.399780E-01  0.302157E+03
  0.9400E-03  0.429993E-01  0.302200E+03
  0.9500E-03  0.130005E+00  0.302330E+03
  0.9600E-03  0.370178E-01  0.302367E+03
  0.9700E-03  0.369873E-01  0.302404E+03
  0.9800E-03  0.128998E+00  0.302533E+03
  0.9900E-03  0.379944E-01  0.302571E+03
