 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.7726315E+10  0.1545263E+12  0.1378123E+18  0.1670671E+16  0.4349869E+10  0.2131565E+11  0.1394832E+18  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.1236285E+12  0.5673202E+12  0.1378117E+18  0.4960128E+16  0.2118139E+11  0.7825722E+11  0.1427726E+18  0.4038902E+07  0.1231966E+07
  0.3000000E-04  0.2487814E+12  0.1174054E+13  0.1378107E+18  0.8634678E+16  0.5079651E+11  0.1619512E+12  0.1464470E+18  0.5102467E+08  0.3681073E+08
  0.4000000E-04  0.4011475E+12  0.1918175E+13  0.1378094E+18  0.1110024E+17  0.8705580E+11  0.2654836E+12  0.1489123E+18  0.1872648E+09  0.3026416E+09
  0.5000000E-04  0.5725544E+12  0.2762402E+13  0.1378078E+18  0.1354355E+17  0.1305259E+12  0.3823282E+12  0.1513552E+18  0.3675416E+09  0.1414594E+10
  0.6000000E-04  0.7570468E+12  0.3675008E+13  0.1378060E+18  0.1574732E+17  0.1802236E+12  0.5086367E+12  0.1535584E+18  0.6118902E+09  0.4669697E+10
  0.7000000E-04  0.9570231E+12  0.4720421E+13  0.1378038E+18  0.1713131E+17  0.2174362E+12  0.6770851E+12  0.1549417E+18  0.8997888E+09  0.1207216E+11
  0.8000000E-04  0.1163002E+13  0.5703018E+13  0.1378014E+18  0.1706348E+17  0.2776764E+12  0.8180263E+12  0.1548729E+18  0.9466737E+09  0.2651380E+11
  0.9000000E-04  0.1360672E+13  0.6687280E+13  0.1377988E+18  0.1790940E+17  0.3404392E+12  0.9592063E+12  0.1557176E+18  0.1314745E+10  0.5085204E+11
  0.1000000E-03  0.1661661E+13  0.8804735E+13  0.1377959E+18  0.2523550E+17  0.4018331E+12  0.1417655E+13  0.1630437E+18  0.1639694E+10  0.8804296E+11
  0.1100000E-03  0.1960043E+13  0.9720004E+13  0.1377927E+18  0.2250681E+17  0.4727394E+12  0.1565023E+13  0.1603132E+18  0.3961434E+10  0.1673715E+12
  0.1200000E-03  0.2135743E+13  0.1060074E+14  0.1377893E+18  0.2181104E+17  0.5339144E+12  0.1706832E+13  0.1596154E+18  0.4461749E+10  0.3172928E+12
  0.1300000E-03  0.2490380E+13  0.1356634E+14  0.1377857E+18  0.6128397E+17  0.7793093E+12  0.2789297E+13  0.1990893E+18  0.4710573E+10  0.5258631E+12
  0.1400000E-03  0.2835168E+13  0.1421458E+14  0.1377818E+18  0.5034151E+17  0.9354366E+12  0.2922577E+13  0.1881442E+18  0.2574012E+11  0.1036430E+13
  0.1500000E-03  0.2958749E+13  0.1485403E+14  0.1377778E+18  0.4506839E+17  0.1038001E+13  0.3054051E+13  0.1828681E+18  0.2437852E+11  0.2054992E+13
  0.1600000E-03  0.3194661E+13  0.1726386E+14  0.1377736E+18  0.1489388E+18  0.1662854E+13  0.5518351E+13  0.2867400E+18  0.2475945E+11  0.3356355E+13
  0.1700000E-03  0.3432510E+13  0.1746071E+14  0.1377692E+18  0.1180034E+18  0.2027163E+13  0.5581272E+13  0.2558012E+18  0.1758192E+12  0.6788053E+13
  0.1800000E-03  0.3474701E+13  0.1770968E+14  0.1377648E+18  0.1003999E+18  0.2245555E+13  0.5660856E+13  0.2381938E+18  0.1527182E+12  0.1412694E+14
  0.1900000E-03  0.2841681E+13  0.1256843E+14  0.1377607E+18  0.1426472E+18  0.2307809E+13  0.7840804E+13  0.2804335E+18  0.1410111E+12  0.2362740E+14
  0.2000000E-03  0.2451666E+13  0.1286731E+14  0.1377570E+18  0.1190880E+18  0.2400765E+13  0.8027259E+13  0.2568707E+18  0.1611983E+12  0.3503145E+14
  0.2100000E-03  0.2510448E+13  0.1320602E+14  0.1377532E+18  0.1032633E+18  0.2504566E+13  0.8238563E+13  0.2410430E+18  0.1275070E+12  0.4791079E+14
  0.2200000E-03  0.1847502E+13  0.7408435E+13  0.1377499E+18  0.1205713E+18  0.2435425E+13  0.9144615E+13  0.2583421E+18  0.1183616E+12  0.6200786E+14
  0.2300000E-03  0.1431197E+13  0.7711434E+13  0.1377470E+18  0.1033013E+18  0.2476098E+13  0.9518622E+13  0.2410694E+18  0.1041461E+12  0.7643145E+14
  0.2400000E-03  0.1487996E+13  0.8035765E+13  0.1377440E+18  0.9198840E+17  0.2550604E+13  0.9918960E+13  0.2297544E+18  0.8345361E+11  0.9058444E+14
