 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.1576799E+09  0.3153598E+10  0.2812496E+16  0.3409532E+14  0.8877284E+08  0.4350132E+09  0.2846595E+16  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.2523030E+10  0.1157796E+11  0.2812484E+16  0.1011991E+15  0.4321718E+09  0.1597086E+10  0.2913699E+16  0.1682010E+04  0.5131368E+03
  0.3000000E-04  0.5077171E+10  0.2396028E+11  0.2812464E+16  0.1760223E+15  0.1035915E+10  0.3305126E+10  0.2988520E+16  0.2125473E+05  0.1533248E+05
  0.4000000E-04  0.8201957E+10  0.3927902E+11  0.2812437E+16  0.2267810E+15  0.1787798E+10  0.5418591E+10  0.3039273E+16  0.7810083E+05  0.1260709E+06
  0.5000000E-04  0.1173222E+11  0.5667436E+11  0.2812405E+16  0.2790649E+15  0.2701601E+10  0.7818301E+10  0.3091548E+16  0.1638640E+06  0.5875651E+06
  0.6000000E-04  0.1553288E+11  0.7547574E+11  0.2812366E+16  0.3272953E+15  0.3754295E+10  0.1041198E+11  0.3139767E+16  0.2834970E+06  0.1960103E+07
  0.7000000E-04  0.1949539E+11  0.9512308E+11  0.2812322E+16  0.3666136E+15  0.4882985E+10  0.1313210E+11  0.3179069E+16  0.4288758E+06  0.5229055E+07
  0.8000000E-04  0.2353818E+11  0.1152229E+12  0.2812274E+16  0.4005474E+15  0.6075338E+10  0.1590695E+11  0.3212982E+16  0.5710625E+06  0.1170572E+08
  0.9000000E-04  0.2759905E+11  0.1354487E+12  0.2812221E+16  0.4283925E+15  0.7313666E+10  0.1869919E+11  0.3240802E+16  0.7159848E+06  0.2291130E+08
  0.1000000E-03  0.3162265E+11  0.1555231E+12  0.2812164E+16  0.4525842E+15  0.8585653E+10  0.2152863E+11  0.3264965E+16  0.8592842E+06  0.4086813E+08
  0.1100000E-03  0.3557220E+11  0.1752241E+12  0.2812103E+16  0.4718587E+15  0.9867756E+10  0.2425578E+11  0.3284206E+16  0.1011848E+07  0.6742699E+08
  0.1200000E-03  0.3941814E+11  0.1944500E+12  0.2812038E+16  0.4866412E+15  0.1115164E+11  0.2691716E+11  0.3298951E+16  0.1153591E+07  0.1044815E+09
  0.1300000E-03  0.4316333E+11  0.2133551E+12  0.2811970E+16  0.4909011E+15  0.1240674E+11  0.2971005E+11  0.3303170E+16  0.1283710E+07  0.1532038E+09
  0.1400000E-03  0.4678623E+11  0.2314109E+12  0.2811900E+16  0.4934305E+15  0.1361957E+11  0.3222436E+11  0.3305654E+16  0.1401965E+07  0.2181232E+09
  0.1500000E-03  0.5024419E+11  0.2487349E+12  0.2811826E+16  0.4946633E+15  0.1480467E+11  0.3463676E+11  0.3306838E+16  0.1497918E+07  0.3029514E+09
  0.1600000E-03  0.5361795E+11  0.2661141E+12  0.2811750E+16  0.5480585E+15  0.1601619E+11  0.3744012E+11  0.3360182E+16  0.1577111E+07  0.4091323E+09
  0.1700000E-03  0.5684695E+11  0.2819592E+12  0.2811672E+16  0.5229783E+15  0.1725007E+11  0.3966940E+11  0.3335046E+16  0.1662106E+07  0.5308771E+09
  0.1800000E-03  0.5984455E+11  0.2969972E+12  0.2811591E+16  0.5110055E+15  0.1838447E+11  0.4178513E+11  0.3323014E+16  0.1732569E+07  0.6689953E+09
  0.1900000E-03  0.6314215E+11  0.3160258E+12  0.2811508E+16  0.9332751E+15  0.2035829E+11  0.4515240E+11  0.3745228E+16  0.1753860E+07  0.8335539E+09
  0.2000000E-03  0.6618826E+11  0.3286814E+12  0.2811423E+16  0.7764750E+15  0.2245207E+11  0.4696058E+11  0.3588362E+16  0.4273407E+07  0.9465669E+09
  0.2100000E-03  0.6857300E+11  0.3407152E+12  0.2811336E+16  0.7023946E+15  0.2391722E+11  0.4867991E+11  0.3514213E+16  0.4527074E+07  0.9842902E+09
  0.2200000E-03  0.7086778E+11  0.3526168E+12  0.2811248E+16  0.6770388E+15  0.2513986E+11  0.5135553E+11  0.3488787E+16  0.4187491E+07  0.1026801E+10
  0.2300000E-03  0.7302281E+11  0.3631066E+12  0.2811158E+16  0.6271282E+15  0.2623228E+11  0.5288327E+11  0.3438801E+16  0.3744934E+07  0.1103132E+10
  0.2400000E-03  0.7500030E+11  0.3731479E+12  0.2811067E+16  0.5921067E+15  0.2715906E+11  0.5434570E+11  0.3403703E+16  0.3251016E+07  0.1227188E+10
  0.2500000E-03  0.7740862E+11  0.3880514E+12  0.2810975E+16  0.1060330E+16  0.2949058E+11  0.5770553E+11  0.3871857E+16  0.2979229E+07  0.1387131E+10
  0.2600000E-03  0.7960988E+11  0.3962837E+12  0.2810881E+16  0.8826830E+15  0.3134610E+11  0.5892972E+11  0.3694130E+16  0.5285855E+07  0.1524607E+10
