 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.2901577E+06  0.9555427E+06  0.2640368E+08  0.3004095E+13  0.5084490E+07  0.0000000E+00  0.0000000E+00  0.1421745E+08 -0.2411013E+10  0.9150738E+08  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.1025726E+07  0.4317796E+07  0.1197458E+09  0.9645211E+13  0.3388728E+08  0.0000000E+00  0.0000000E+00  0.5677879E+08 -0.1093683E+11  0.4180164E+09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.1777083E+07  0.9946032E+07  0.2765990E+09  0.1772034E+14  0.1023792E+09  0.0000000E+00  0.0000000E+00  0.1151739E+09 -0.2526415E+11  0.9722338E+09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04  0.9718614E+06  0.1579417E+08  0.4726686E+09  0.2586527E+14  0.2162579E+09  0.0000000E+00  0.0000000E+00  0.1629974E+09 -0.4333572E+11  0.1570098E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04 -0.5073848E+06  0.2286179E+08  0.6997960E+09  0.3386874E+14  0.3778568E+09  0.0000000E+00  0.0000000E+00  0.2148758E+09 -0.6423674E+11  0.2285671E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04 -0.2595573E+07  0.3099122E+08  0.9443489E+09  0.4136890E+14  0.5856695E+09  0.0000000E+00  0.0000000E+00  0.2676845E+09 -0.8669415E+11  0.3099381E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04 -0.5127049E+07  0.4150119E+08  0.1196510E+10  0.4825327E+14  0.8357036E+09  0.0000000E+00  0.0000000E+00  0.3516236E+09 -0.1097935E+12  0.4107538E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04 -0.7851308E+07  0.5255526E+08  0.1446784E+10  0.5442353E+14  0.1122750E+10  0.0000000E+00  0.0000000E+00  0.4235501E+09 -0.1326736E+12  0.5159105E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04 -0.1085298E+08  0.6380266E+08  0.1689094E+10  0.5987655E+14  0.1441290E+10  0.0000000E+00  0.0000000E+00  0.4821925E+09 -0.1547766E+12  0.6221156E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03 -0.1347655E+08  0.7999243E+08  0.1914495E+10  0.6457328E+14  0.1783862E+10  0.0000000E+00  0.0000000E+00  0.5508944E+09 -0.1753318E+12  0.7766800E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1100000E-03 -0.1634354E+08  0.9621196E+08  0.2126908E+10  0.6866730E+14  0.2146308E+10  0.0000000E+00  0.0000000E+00  0.6047194E+09 -0.1946609E+12  0.9320251E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1200000E-03 -0.1955345E+08  0.1121044E+09  0.2324275E+10  0.7221313E+14  0.2524624E+10  0.0000000E+00  0.0000000E+00  0.6426188E+09 -0.2125654E+12  0.1084944E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1300000E-03 -0.2582077E+08  0.1266288E+09  0.2487037E+10  0.7499294E+14  0.2910903E+10  0.0000000E+00  0.0000000E+00  0.6926346E+09 -0.2275791E+12  0.1222632E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1400000E-03 -0.3147445E+08  0.1413643E+09  0.2637180E+10  0.7738351E+14  0.3303490E+10  0.0000000E+00  0.0000000E+00  0.7168644E+09 -0.2414002E+12  0.1361739E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1500000E-03 -0.3728933E+08  0.1552299E+09  0.2773224E+10  0.7945184E+14  0.3700465E+10  0.0000000E+00  0.0000000E+00  0.7218790E+09 -0.2538522E+12  0.1493139E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1600000E-03 -0.6234075E+07  0.1699023E+09  0.2978238E+10  0.8643906E+14  0.4111786E+10  0.0000000E+00  0.0000000E+00  0.1320610E+10 -0.2713486E+12  0.1635682E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1700000E-03 -0.1220954E+08  0.1938129E+09  0.3104746E+10  0.8664359E+14  0.4535982E+10  0.0000000E+00  0.0000000E+00  0.1305492E+10 -0.2824470E+12  0.1833802E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1800000E-03 -0.1927704E+08  0.2103462E+09  0.3205504E+10  0.8725128E+14  0.4957723E+10  0.0000000E+00  0.0000000E+00  0.1223933E+10 -0.2914264E+12  0.1976856E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1900000E-03 -0.3554473E+07  0.2444378E+09  0.3888757E+10  0.1107376E+15  0.5478355E+10  0.0000000E+00  0.0000000E+00  0.1472422E+10 -0.3551429E+12  0.2318290E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-03  0.2011916E+08  0.2475666E+09  0.4010486E+10  0.1061013E+15  0.6020385E+10  0.0000000E+00  0.0000000E+00  0.1540742E+10 -0.3652351E+12  0.2332811E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2100000E-03  0.3130414E+08  0.2480491E+09  0.4063975E+10  0.1032343E+15  0.6533743E+10  0.0000000E+00  0.0000000E+00  0.1503169E+10 -0.3694930E+12  0.2330079E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2200000E-03  0.3943268E+08  0.2414618E+09  0.4154529E+10  0.1044535E+15  0.7017109E+10  0.0000000E+00  0.0000000E+00  0.1571791E+10 -0.3759350E+12  0.2284925E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2300000E-03  0.3864777E+08  0.2449314E+09  0.4179666E+10  0.1024266E+15  0.7482364E+10  0.0000000E+00  0.0000000E+00  0.1481820E+10 -0.3776746E+12  0.2302015E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2400000E-03  0.3435054E+08  0.2461853E+09  0.4185850E+10  0.1009485E+15  0.7922323E+10  0.0000000E+00  0.0000000E+00  0.1371485E+10 -0.3779286E+12  0.2305614E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2500000E-03  0.2484407E+08  0.2697142E+09  0.4822508E+10  0.1200310E+15  0.8468650E+10  0.0000000E+00  0.0000000E+00  0.5829574E+09 -0.4365381E+12  0.2471405E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2600000E-03  0.5612531E+08  0.2494420E+09  0.4709492E+10  0.1127645E+15  0.8967743E+10  0.0000000E+00  0.0000000E+00  0.6038465E+09 -0.4249917E+12  0.2287200E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2700000E-03  0.6952050E+08  0.2335363E+09  0.4572693E+10  0.1076031E+15  0.9397528E+10  0.0000000E+00  0.0000000E+00  0.5966746E+09 -0.4117631E+12  0.2143816E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2800000E-03  0.1094170E+09  0.1990876E+09  0.4804230E+10  0.1135870E+15  0.9878559E+10  0.0000000E+00  0.0000000E+00  0.8033315E+07 -0.4310127E+12  0.1833492E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2900000E-03  0.1115668E+09  0.1825056E+09  0.4648737E+10  0.1082718E+15  0.1028526E+11  0.0000000E+00  0.0000000E+00  0.1214692E+08 -0.4160642E+12  0.1688950E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-03  0.1068425E+09  0.1696357E+09  0.4513421E+10  0.1046699E+15  0.1063617E+11  0.0000000E+00  0.0000000E+00  0.4164808E+08 -0.4031771E+12  0.1575694E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3100000E-03 -0.7157280E+08  0.1266626E+09  0.1247740E+10  0.1282433E+15  0.9443829E+10  0.0000000E+00  0.0000000E+00 -0.5837692E+09 -0.1004063E+12  0.1175146E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3200000E-03 -0.6174068E+08  0.1152552E+09  0.2066587E+10  0.1028532E+15  0.8902199E+10  0.0000000E+00  0.0000000E+00 -0.4651740E+09 -0.1775095E+12  0.1069649E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3300000E-03 -0.5961274E+08  0.1068587E+09  0.2495986E+10  0.8985425E+14  0.8666028E+10  0.0000000E+00  0.0000000E+00 -0.3846842E+09 -0.2176942E+12  0.9928675E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3400000E-03 -0.2120454E+07  0.9496425E+08  0.3237281E+10  0.8597685E+14  0.8767480E+10  0.0000000E+00  0.0000000E+00 -0.1724938E+08 -0.2852079E+12  0.9179295E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3500000E-03 -0.1669879E+08  0.1010815E+09  0.3304634E+10  0.8153377E+14  0.8907290E+10  0.0000000E+00  0.0000000E+00  0.7345810E+08 -0.2912314E+12  0.9702995E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3600000E-03 -0.3232530E+08  0.1058952E+09  0.3336596E+10  0.7917134E+14  0.9057869E+10  0.0000000E+00  0.0000000E+00  0.1107761E+09 -0.2941137E+12  0.1011444E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3700000E-03  0.2567376E+08  0.1455629E+09  0.4252228E+10  0.9983734E+14  0.9502901E+10  0.0000000E+00  0.0000000E+00  0.3183522E+09 -0.3719639E+12  0.1309767E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3800000E-03  0.6140952E+07  0.1440285E+09  0.4230853E+10  0.9471089E+14  0.9891641E+10  0.0000000E+00  0.0000000E+00  0.3206136E+09 -0.3699953E+12  0.1293150E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3900000E-03 -0.1402239E+08  0.1416376E+09  0.4183976E+10  0.9158797E+14  0.1022588E+11  0.0000000E+00  0.0000000E+00  0.3075657E+09 -0.3659725E+12  0.1271339E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-03  0.1989102E+08  0.1086235E+09  0.4969668E+10  0.1093991E+15  0.1077195E+11  0.0000000E+00  0.0000000E+00 -0.3974950E+09 -0.4293430E+12  0.1002905E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4100000E-03 -0.5675420E+07  0.1008200E+09  0.4742203E+10  0.1014271E+15  0.1118384E+11  0.0000000E+00  0.0000000E+00 -0.3684201E+09 -0.4093201E+12  0.9341565E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4200000E-03 -0.3002351E+08  0.9548253E+08  0.4547684E+10  0.9653873E+14  0.1149841E+11  0.0000000E+00  0.0000000E+00 -0.3266354E+09 -0.3924649E+12  0.8861232E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4300000E-03 -0.3875623E+08  0.1082651E+09  0.3575473E+10  0.1010506E+15  0.1128180E+11  0.0000000E+00  0.0000000E+00  0.2037806E+08 -0.3047363E+12  0.9690786E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4400000E-03 -0.5630669E+08  0.1099961E+09  0.3771582E+10  0.9404091E+14  0.1124555E+11  0.0000000E+00  0.0000000E+00 -0.6018637E+07 -0.3229046E+12  0.9876269E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4500000E-03 -0.7396848E+08  0.1098548E+09  0.3854292E+10  0.9011687E+14  0.1128766E+11  0.0000000E+00  0.0000000E+00 -0.2984609E+08 -0.3308903E+12  0.9892511E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4600000E-03  0.3669302E+08  0.8859314E+08  0.5303900E+10  0.1218194E+15  0.1182734E+11  0.0000000E+00  0.0000000E+00 -0.6480457E+09 -0.4431203E+12  0.8145750E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4700000E-03  0.6917734E+07  0.8641048E+08  0.5128932E+10  0.1114634E+15  0.1224068E+11  0.0000000E+00  0.0000000E+00 -0.5988586E+09 -0.4289094E+12  0.7946907E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4800000E-03 -0.2137056E+08  0.8454252E+08  0.4944130E+10  0.1047574E+15  0.1254981E+11  0.0000000E+00  0.0000000E+00 -0.5454468E+09 -0.4141597E+12  0.7778040E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
