 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Iteration time
      time      It. Time    Accumulated
  0.1000E-04  0.000000E+00  0.000000E+00
  0.2000E-04  0.300920E+02  0.300920E+02
  0.3000E-04  0.368900E+01  0.337810E+02
  0.4000E-04  0.378700E+01  0.375680E+02
  0.5000E-04  0.293330E+02  0.669010E+02
  0.6000E-04  0.395100E+01  0.708520E+02
  0.7000E-04  0.389200E+01  0.747440E+02
  0.8000E-04  0.293080E+02  0.104052E+03
  0.9000E-04  0.400700E+01  0.108059E+03
  0.1000E-03  0.406599E+01  0.112125E+03
  0.1100E-03  0.293720E+02  0.141497E+03
  0.1200E-03  0.399701E+01  0.145494E+03
  0.1300E-03  0.402400E+01  0.149518E+03
  0.1400E-03  0.292370E+02  0.178755E+03
  0.1500E-03  0.402399E+01  0.182779E+03
  0.1600E-03  0.396201E+01  0.186741E+03
  0.1700E-03  0.294720E+02  0.216213E+03
  0.1800E-03  0.398900E+01  0.220202E+03
  0.1900E-03  0.399100E+01  0.224193E+03
  0.2000E-03  0.296310E+02  0.253824E+03
  0.2100E-03  0.386301E+01  0.257687E+03
  0.2200E-03  0.382599E+01  0.261513E+03
  0.2300E-03  0.293370E+02  0.290850E+03
  0.2400E-03  0.385001E+01  0.294700E+03
  0.2500E-03  0.389200E+01  0.298592E+03
  0.2600E-03  0.295340E+02  0.328126E+03
  0.2700E-03  0.393500E+01  0.332061E+03
  0.2800E-03  0.397000E+01  0.336031E+03
  0.2900E-03  0.294240E+02  0.365455E+03
  0.3000E-03  0.384698E+01  0.369302E+03
  0.3100E-03  0.389001E+01  0.373192E+03
  0.3200E-03  0.298090E+02  0.403001E+03
  0.3300E-03  0.415500E+01  0.407156E+03
  0.3400E-03  0.392502E+01  0.411081E+03
  0.3500E-03  0.294640E+02  0.440545E+03
  0.3600E-03  0.405301E+01  0.444598E+03
  0.3700E-03  0.405600E+01  0.448654E+03
  0.3800E-03  0.296520E+02  0.478306E+03
  0.3900E-03  0.386200E+01  0.482168E+03
  0.4000E-03  0.394003E+01  0.486108E+03
  0.4100E-03  0.298100E+02  0.515918E+03
  0.4200E-03  0.382697E+01  0.519745E+03
  0.4300E-03  0.379901E+01  0.523544E+03
  0.4400E-03  0.290990E+02  0.552643E+03
  0.4500E-03  0.418402E+01  0.556827E+03
  0.4600E-03  0.404901E+01  0.560876E+03
  0.4700E-03  0.300780E+02  0.590954E+03
  0.4800E-03  0.390295E+01  0.594857E+03
  0.4900E-03  0.391400E+01  0.598771E+03
  0.5000E-03  0.295120E+02  0.628283E+03
  0.5100E-03  0.409802E+01  0.632381E+03
  0.5200E-03  0.398297E+01  0.636364E+03
  0.5300E-03  0.296940E+02  0.666058E+03
  0.5400E-03  0.378796E+01  0.669846E+03
  0.5500E-03  0.373199E+01  0.673578E+03
  0.5600E-03  0.295510E+02  0.703129E+03
  0.5700E-03  0.389301E+01  0.707022E+03
  0.5800E-03  0.373798E+01  0.710760E+03
  0.5900E-03  0.338290E+02  0.744589E+03
  0.6000E-03  0.447504E+01  0.749064E+03
  0.6100E-03  0.379596E+01  0.752860E+03
  0.6200E-03  0.293690E+02  0.782229E+03
  0.6300E-03  0.374701E+01  0.785976E+03
  0.6400E-03  0.371698E+01  0.789693E+03
  0.6500E-03  0.297780E+02  0.819471E+03
  0.6600E-03  0.404199E+01  0.823513E+03
  0.6700E-03  0.391302E+01  0.827426E+03
  0.6800E-03  0.293900E+02  0.856816E+03
  0.6900E-03  0.389099E+01  0.860707E+03
  0.7000E-03  0.388300E+01  0.864590E+03
  0.7100E-03  0.296570E+02  0.894247E+03
  0.7200E-03  0.378601E+01  0.898033E+03
  0.7300E-03  0.413098E+01  0.902164E+03
  0.7400E-03  0.382590E+02  0.940423E+03
  0.7500E-03  0.451398E+01  0.944937E+03
  0.7600E-03  0.501703E+01  0.949954E+03
  0.7700E-03  0.395590E+02  0.989513E+03
  0.7800E-03  0.492102E+01  0.994434E+03
  0.7900E-03  0.492505E+01  0.999359E+03
  0.8000E-03  0.393219E+02  0.103868E+04
  0.8100E-03  0.482910E+01  0.104351E+04
  0.8200E-03  0.481091E+01  0.104832E+04
  0.8300E-03  0.394060E+02  0.108773E+04
  0.8400E-03  0.475598E+01  0.109248E+04
  0.8500E-03  0.457910E+01  0.109706E+04
  0.8600E-03  0.401969E+02  0.113726E+04
  0.8700E-03  0.487000E+01  0.114213E+04
  0.8800E-03  0.464099E+01  0.114677E+04
  0.8900E-03  0.394071E+02  0.118618E+04
  0.9000E-03  0.463098E+01  0.119081E+04
  0.9100E-03  0.452393E+01  0.119533E+04
  0.9200E-03  0.391051E+02  0.123444E+04
  0.9300E-03  0.475195E+01  0.123919E+04
  0.9400E-03  0.478296E+01  0.124397E+04
  0.9500E-03  0.401350E+02  0.128411E+04
  0.9600E-03  0.448401E+01  0.128859E+04
  0.9700E-03  0.475696E+01  0.129335E+04
  0.9800E-03  0.404961E+02  0.133384E+04
  0.9900E-03  0.488293E+01  0.133873E+04
