 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.2611419E+07  0.8599884E+07  0.2376332E+09  0.2703686E+14  0.4576041E+08  0.0000000E+00  0.0000000E+00  0.1279571E+09 -0.2169911E+11  0.8235664E+09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.9231530E+07  0.3886016E+08  0.1077712E+10  0.8680690E+14  0.3049856E+09  0.0000000E+00  0.0000000E+00  0.5110091E+09 -0.9843144E+11  0.3762147E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.1599375E+08  0.8951429E+08  0.2489391E+10  0.1594831E+15  0.9214131E+09  0.0000000E+00  0.0000000E+00  0.1036565E+10 -0.2273774E+12  0.8750105E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04  0.9918301E+07  0.1471512E+09  0.4292865E+10  0.2339629E+15  0.1953064E+10  0.0000000E+00  0.0000000E+00  0.1310516E+10 -0.3928189E+12  0.1414541E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04  0.1421778E+07  0.2116454E+09  0.6392947E+10  0.3070657E+15  0.3424613E+10  0.0000000E+00  0.0000000E+00  0.1502559E+10 -0.5849148E+12  0.2006266E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04 -0.9439414E+07  0.2803600E+09  0.8657009E+10  0.3754795E+15  0.5322735E+10  0.0000000E+00  0.0000000E+00  0.1586263E+10 -0.7914633E+12  0.2625513E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04 -0.2908254E+08  0.3711001E+09  0.1076127E+11  0.4318246E+15  0.7550832E+10  0.0000000E+00  0.0000000E+00  0.1433293E+10 -0.9850503E+12  0.3487104E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04 -0.4954229E+08  0.4659546E+09  0.1286295E+11  0.4842215E+15  0.1007685E+11  0.0000000E+00  0.0000000E+00  0.1202409E+10 -0.1177982E+13  0.4388902E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04 -0.7350912E+08  0.5602381E+09  0.1490588E+11  0.5315062E+15  0.1286355E+11  0.0000000E+00  0.0000000E+00  0.9156249E+09 -0.1364809E+13  0.5290647E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03  0.5856678E+08  0.6558856E+09  0.1846853E+11  0.6746566E+15  0.1607730E+11  0.0000000E+00  0.0000000E+00  0.5882757E+10 -0.1694499E+13  0.6190997E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1100000E-03  0.4818417E+08  0.8025550E+09  0.2060523E+11  0.6885088E+15  0.1965107E+11  0.0000000E+00  0.0000000E+00  0.6891853E+10 -0.1887097E+13  0.7418610E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1200000E-03  0.2297973E+08  0.9205359E+09  0.2237553E+11  0.7064004E+15  0.2334583E+11  0.0000000E+00  0.0000000E+00  0.7422006E+10 -0.2047220E+13  0.8443524E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1300000E-03 -0.1976271E+09  0.1066528E+10  0.2741198E+11  0.9278686E+15  0.2748124E+11  0.0000000E+00  0.0000000E+00  0.6953532E+09 -0.2507825E+13  0.9753663E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1400000E-03 -0.7424391E+07  0.1003019E+10  0.2880552E+11  0.8795896E+15  0.3180554E+11  0.0000000E+00  0.0000000E+00  0.2246814E+10 -0.2624487E+13  0.9243095E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1500000E-03  0.8297449E+08  0.9479062E+09  0.2955893E+11  0.8511072E+15  0.3592806E+11  0.0000000E+00  0.0000000E+00  0.3070298E+10 -0.2687035E+13  0.8828721E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1600000E-03  0.2899916E+09  0.3798803E+09  0.1354012E+11  0.6662656E+15  0.3295036E+11  0.0000000E+00  0.0000000E+00 -0.4816260E+09 -0.1154773E+13  0.3712671E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1700000E-03  0.1119856E+08  0.3893608E+09  0.1749238E+11  0.6046197E+15  0.3286093E+11  0.0000000E+00  0.0000000E+00  0.6360953E+09 -0.1520681E+13  0.3787492E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1800000E-03 -0.2308625E+09  0.4143591E+09  0.1992669E+11  0.5873242E+15  0.3409027E+11  0.0000000E+00  0.0000000E+00  0.1372081E+10 -0.1743629E+13  0.4013063E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1900000E-03  0.3071635E+09  0.4918677E+09  0.3469740E+11  0.1069801E+16  0.3966404E+11  0.0000000E+00  0.0000000E+00 -0.2650431E+10 -0.3008216E+13  0.4708493E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
