 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Circuit data
          time,       Voltage,        Charge,       Current,       ResistD,       ResistJ,        Induct,       Mutual1,       Mutual2,        Mutual3
  0.10000000E-04  0.14340915E+09  0.14999989E+09  0.22462762E+08  0.98180661E-02  0.58309986E-02  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20000000E-04  0.13268074E+09  0.14999956E+09  0.43040379E+08  0.98180661E-02  0.12386095E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30000000E-04  0.12285248E+09  0.14999904E+09  0.61916430E+08  0.98180661E-02  0.13703445E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40000000E-04  0.11383705E+09  0.14999833E+09  0.79241000E+08  0.98211510E-02  0.13545015E-01  0.68989754E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50000000E-04  0.10556213E+09  0.14999746E+09  0.95162076E+08  0.98211510E-02  0.12990935E-01  0.68989754E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60000000E-04  0.97957367E+08  0.14999643E+09  0.10980461E+09  0.98211510E-02  0.12348418E-01  0.68989754E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70000000E-04  0.90967614E+08  0.14999527E+09  0.12331227E+09  0.98546740E-02  0.11628461E-01  0.69189853E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80000000E-04  0.84515492E+08  0.14999397E+09  0.13572914E+09  0.98546740E-02  0.10929668E-01  0.69189853E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90000000E-04  0.78584185E+08  0.14999256E+09  0.14716794E+09  0.98546740E-02  0.10316827E-01  0.69189853E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10000000E-03  0.73134674E+08  0.14999103E+09  0.15798344E+09  0.98263537E-02  0.98950894E-02  0.69896755E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11000000E-03  0.67968420E+08  0.14998940E+09  0.16773070E+09  0.98263537E-02  0.95960237E-02  0.69896755E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12000000E-03  0.63312187E+08  0.14998768E+09  0.17671848E+09  0.98263537E-02  0.90897273E-02  0.69896755E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13000000E-03  0.59050001E+08  0.14998587E+09  0.18644889E+09  0.10030273E-01  0.91884751E-02  0.71482145E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14000000E-03  0.54402362E+08  0.14998396E+09  0.19384152E+09  0.10030273E-01  0.95963218E-02  0.71482145E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15000000E-03  0.50870848E+08  0.14998199E+09  0.20069118E+09  0.10030273E-01  0.89163439E-02  0.71482145E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16000000E-03  0.47639451E+08  0.14997995E+09  0.20839981E+09  0.10214510E-01  0.90736252E-02  0.74099012E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17000000E-03  0.43957344E+08  0.14997783E+09  0.21418957E+09  0.10214510E-01  0.92716139E-02  0.74099012E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
