 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.6307196E+09  0.1261439E+11  0.1124998E+17  0.1363813E+15  0.3550913E+09  0.1740053E+10  0.1138638E+17  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.1009212E+11  0.4631186E+11  0.1124993E+17  0.4048034E+15  0.1728713E+10  0.6388344E+10  0.1165480E+17  0.2691234E+05  0.8210165E+04
  0.3000000E-04  0.2030868E+11  0.9584111E+11  0.1124986E+17  0.7041381E+15  0.4143846E+10  0.1322050E+11  0.1195413E+17  0.3400725E+06  0.2453188E+06
  0.4000000E-04  0.3279336E+11  0.1569784E+12  0.1124975E+17  0.9449806E+15  0.7236109E+10  0.2165980E+11  0.1219495E+17  0.1249507E+07  0.2017114E+07
  0.5000000E-04  0.4688231E+11  0.2263955E+12  0.1124962E+17  0.1178320E+16  0.1095964E+11  0.3123794E+11  0.1242825E+17  0.2610675E+07  0.9166938E+07
  0.6000000E-04  0.6205035E+11  0.3014263E+12  0.1124946E+17  0.1386547E+16  0.1519529E+11  0.4159066E+11  0.1263643E+17  0.4487751E+07  0.2933269E+08
  0.7000000E-04  0.7788814E+11  0.3801479E+12  0.1124929E+17  0.1517860E+16  0.1962742E+11  0.5260475E+11  0.1276768E+17  0.6753191E+07  0.7518751E+08
  0.8000000E-04  0.9407359E+11  0.4605600E+12  0.1124910E+17  0.1636236E+16  0.2428980E+11  0.6373215E+11  0.1288597E+17  0.8954098E+07  0.1669149E+09
  0.9000000E-04  0.1103171E+12  0.5414601E+12  0.1124888E+17  0.1735716E+16  0.2914837E+11  0.7492708E+11  0.1298536E+17  0.1130182E+08  0.3306296E+09
  0.1000000E-03  0.1265991E+12  0.6239692E+12  0.1124865E+17  0.1839532E+16  0.3380339E+11  0.8722684E+11  0.1308906E+17  0.1368106E+08  0.5960435E+09
  0.1100000E-03  0.1426652E+12  0.7033397E+12  0.1124841E+17  0.1848650E+16  0.3876427E+11  0.9832233E+11  0.1309804E+17  0.1551980E+08  0.9837962E+09
  0.1200000E-03  0.1581471E+12  0.7807355E+12  0.1124815E+17  0.1870894E+16  0.4367558E+11  0.1091418E+12  0.1312014E+17  0.1747592E+08  0.1533158E+10
  0.1300000E-03  0.1743569E+12  0.8690797E+12  0.1124788E+17  0.2627114E+16  0.4909015E+11  0.1242474E+12  0.1387621E+17  0.1916025E+08  0.2310910E+10
  0.1400000E-03  0.1898549E+12  0.9393633E+12  0.1124759E+17  0.2317498E+16  0.5613043E+11  0.1342954E+12  0.1356641E+17  0.2795287E+08  0.3106581E+10
  0.1500000E-03  0.2033118E+12  0.1006924E+13  0.1124730E+17  0.2200412E+16  0.6204449E+11  0.1439541E+12  0.1344913E+17  0.3208220E+08  0.3791208E+10
  0.1600000E-03  0.2174392E+12  0.1085762E+13  0.1124699E+17  0.3402115E+16  0.7142722E+11  0.1609078E+12  0.1465064E+17  0.3269382E+08  0.4591590E+10
  0.1700000E-03  0.2309917E+12  0.1146929E+13  0.1124668E+17  0.2974198E+16  0.7926029E+11  0.1699727E+12  0.1422250E+17  0.4661531E+08  0.5370822E+10
  0.1800000E-03  0.2425339E+12  0.1204864E+13  0.1124635E+17  0.2772621E+16  0.8498110E+11  0.1785585E+12  0.1402068E+17  0.4740973E+08  0.6126599E+10
  0.1900000E-03  0.2540481E+12  0.1267357E+13  0.1124602E+17  0.2968499E+16  0.9156218E+11  0.1964558E+12  0.1421632E+17  0.4622295E+08  0.7129498E+10
  0.2000000E-03  0.2650367E+12  0.1318909E+13  0.1124568E+17  0.2678792E+16  0.9813751E+11  0.2044470E+12  0.1392635E+17  0.5600490E+08  0.8416995E+10
  0.2100000E-03  0.2746874E+12  0.1367408E+13  0.1124533E+17  0.2546927E+16  0.1030083E+12  0.2119649E+12  0.1379421E+17  0.5459417E+08  0.1017181E+11
  0.2200000E-03  0.3029946E+12  0.1610377E+13  0.1124496E+17  0.3982474E+16  0.1045987E+12  0.2634355E+12  0.1522972E+17  0.5341370E+08  0.1252731E+11
  0.2300000E-03  0.3282665E+12  0.1635752E+13  0.1124458E+17  0.3216904E+16  0.1084322E+12  0.2675865E+12  0.1446382E+17  0.1172980E+09  0.1660756E+11
  0.2400000E-03  0.3329249E+12  0.1659007E+13  0.1124420E+17  0.2844539E+16  0.1104662E+12  0.2713907E+12  0.1409111E+17  0.1110705E+09  0.2322195E+11
  0.2500000E-03  0.3404493E+12  0.1717578E+13  0.1124381E+17  0.3804255E+16  0.1184401E+12  0.3029603E+12  0.1505054E+17  0.1030084E+09  0.3110000E+11
  0.2600000E-03  0.3477435E+12  0.1736791E+13  0.1124341E+17  0.3279289E+16  0.1262077E+12  0.3063492E+12  0.1452522E+17  0.1556615E+09  0.4045708E+11
  0.2700000E-03  0.3514079E+12  0.1755854E+13  0.1124301E+17  0.3023846E+16  0.1305549E+12  0.3097118E+12  0.1426941E+17  0.1451817E+09  0.5104479E+11
  0.2800000E-03  0.3684819E+12  0.1917855E+13  0.1124261E+17  0.4977839E+16  0.1438657E+12  0.3751690E+12  0.1622325E+17  0.1374843E+09  0.6231219E+11
  0.2900000E-03  0.3832925E+12  0.1916984E+13  0.1124219E+17  0.4224450E+16  0.1522113E+12  0.3749986E+12  0.1546947E+17  0.2774081E+09  0.8110183E+11
  0.3000000E-03  0.3833395E+12  0.1918253E+13  0.1124178E+17  0.3825868E+16  0.1566584E+12  0.3752468E+12  0.1507048E+17  0.2546870E+09  0.1083579E+12
  0.3100000E-03  0.3991748E+12  0.2087320E+13  0.1124135E+17  0.6921756E+16  0.1795566E+12  0.4666148E+12  0.1816624E+17  0.2339779E+09  0.1372731E+12
  0.3200000E-03  0.4130567E+12  0.2071278E+13  0.1124092E+17  0.5834420E+16  0.1923388E+12  0.4630286E+12  0.1707848E+17  0.5653958E+09  0.1770357E+12
  0.3300000E-03  0.4103811E+12  0.2059010E+13  0.1124049E+17  0.5220150E+16  0.1986497E+12  0.4602860E+12  0.1646377E+17  0.5078871E+09  0.2312717E+12
  0.3400000E-03  0.4282566E+12  0.2267114E+13  0.1124005E+17  0.1079381E+17  0.2370555E+12  0.6002488E+12  0.2203739E+17  0.4662496E+09  0.2907560E+12
  0.3500000E-03  0.4433540E+12  0.2227867E+13  0.1123960E+17  0.8788529E+16  0.2557850E+12  0.5898576E+12  0.2003165E+17  0.1297359E+10  0.3916602E+12
  0.3600000E-03  0.4366979E+12  0.2196472E+13  0.1123915E+17  0.7714606E+16  0.2643945E+12  0.5815454E+12  0.1895724E+17  0.1136420E+10  0.5463377E+12
  0.3700000E-03  0.4297683E+12  0.2178502E+13  0.1123871E+17  0.1126249E+17  0.2947239E+12  0.7143747E+12  0.2250482E+17  0.1015518E+10  0.7155596E+12
  0.3800000E-03  0.4246903E+12  0.2143617E+13  0.1123827E+17  0.9690243E+16  0.3086255E+12  0.7029350E+12  0.2093209E+17  0.1833598E+10  0.9299237E+12
  0.3900000E-03  0.4188043E+12  0.2115852E+13  0.1123783E+17  0.8698875E+16  0.3144648E+12  0.6938303E+12  0.1994025E+17  0.1578852E+10  0.1200673E+13
  0.4000000E-03  0.3903601E+12  0.1886523E+13  0.1123741E+17  0.1168707E+17  0.3172396E+12  0.7988958E+12  0.2292787E+17  0.1389534E+10  0.1487184E+13
  0.4100000E-03  0.3682786E+12  0.1867747E+13  0.1123700E+17  0.1003152E+17  0.3177256E+12  0.7909448E+12  0.2127186E+17  0.1587774E+10  0.1801597E+13
  0.4200000E-03  0.3653272E+12  0.1854925E+13  0.1123659E+17  0.8929242E+16  0.3168609E+12  0.7855150E+12  0.2016915E+17  0.1360073E+10  0.2139733E+13
