 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.5000000E-05  0.3308789E+09  0.5891926E+09  0.1038354E+09  0.6216531E+15  0.8699199E+09  0.0000000E+00  0.0000000E+00  0.5682904E+09 -0.7500728E+09  0.7757528E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-04  0.1336025E+10  0.2494361E+10  0.4812453E+09  0.2010227E+16  0.4801757E+10  0.4194860E+05  0.4156402E+06  0.2287499E+10 -0.3233380E+10  0.3299912E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1500000E-04  0.2771426E+10  0.5375218E+10  0.1098025E+10  0.3740335E+16  0.1251822E+11  0.1271251E+07  0.7354457E+07  0.4581087E+10 -0.6684899E+10  0.7142061E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.4804337E+10  0.9505129E+10  0.1357648E+10  0.5277827E+16  0.2299508E+11  0.1173188E+08  0.3442530E+08  0.1028421E+11 -0.1434784E+11  0.1142919E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2500000E-04  0.7158251E+10  0.1410107E+11  0.1438827E+10  0.6986050E+16  0.3620893E+11  0.5908970E+08  0.9086604E+08  0.1551147E+11 -0.2221095E+11  0.1614903E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.9785812E+10  0.1872249E+11  0.1395638E+10  0.8735782E+16  0.5186378E+11  0.2080069E+09  0.1894330E+09  0.1958109E+11 -0.2994984E+11  0.2091208E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3500000E-04  0.1242210E+11  0.2521221E+11  0.1500472E+10  0.9901459E+16  0.6806461E+11  0.5702329E+09  0.3336124E+09  0.3046357E+11 -0.2324957E+11  0.2607213E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04  0.1506247E+11  0.3163027E+11  0.1603744E+10  0.1116128E+17  0.8531009E+11  0.1323508E+10  0.4854334E+09  0.4132959E+11 -0.1646283E+11  0.3063671E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4500000E-04  0.1778685E+11  0.3780016E+11  0.1604775E+10  0.1240260E+17  0.1035966E+12  0.2688169E+10  0.6703062E+09  0.5185055E+11 -0.9981990E+10  0.3461656E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04  0.2448917E+11  0.4084588E+11  0.7036353E+09  0.1385420E+17  0.1211333E+12  0.4947256E+10  0.8841418E+09  0.6577622E+11 -0.1387849E+11  0.3367607E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5500000E-04  0.3034634E+11  0.4350462E+11  0.6551722E+09  0.1453558E+17  0.1405690E+12  0.8855945E+10  0.1127471E+10  0.7601650E+11 -0.1469072E+11  0.3490401E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04  0.3545985E+11  0.4493421E+11  0.7086321E+09  0.1533010E+17  0.1602068E+12  0.1560614E+11  0.1429152E+10  0.8442921E+11 -0.1407203E+11  0.3616839E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6500000E-04  0.2725534E+11  0.2873096E+11  0.9343050E+10  0.2069381E+17  0.1695960E+12  0.2622361E+11  0.1730962E+10 -0.6870179E+11 -0.1392701E+12  0.3296125E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04  0.2844642E+11  0.3195631E+11  0.1263114E+11  0.1873939E+17  0.1965682E+12  0.3899358E+11  0.1579940E+10 -0.6119253E+11 -0.1918298E+12  0.3701444E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7500000E-04  0.3199087E+11  0.3261871E+11  0.1365717E+11  0.1837260E+17  0.2210262E+12  0.5237300E+11  0.1983914E+10 -0.4863552E+11 -0.2084538E+12  0.3775354E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04  0.2961129E+11  0.2766726E+11 -0.5610139E+10  0.2131213E+17  0.2470560E+12  0.6905794E+11  0.2242390E+10  0.1886456E+12  0.6925877E+11  0.2837726E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8500000E-04  0.4223702E+11  0.2596113E+11 -0.7173128E+10  0.1937607E+17  0.2820996E+12  0.8849333E+11  0.3080773E+10  0.2070779E+12  0.8807407E+11  0.2574157E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04  0.4818395E+11  0.2523969E+11 -0.7187377E+10  0.1892329E+17  0.3092252E+12  0.1140905E+12  0.3449001E+10  0.2138177E+12  0.9432152E+11  0.2504391E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9500000E-04  0.1035759E+12  0.1395837E+11  0.2713292E+10  0.2936921E+17  0.3315760E+12  0.1510209E+12  0.3815823E+10  0.1246104E+11 -0.2812914E+11  0.1776436E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03  0.9997932E+11  0.1275375E+11  0.2675177E+10  0.2568244E+17  0.3763416E+12  0.2240620E+12  0.7204889E+10 -0.4188986E+09 -0.3771002E+11  0.1283428E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1050000E-03  0.1004300E+12  0.1230759E+11  0.1945200E+10  0.2428824E+17  0.4129060E+12  0.3453568E+12  0.7939784E+10 -0.1827599E+10 -0.3608690E+11  0.1518659E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1100000E-03  0.1643877E+12  0.1958103E+11 -0.1967597E+09  0.4149628E+17  0.5105533E+12  0.4915569E+12  0.8178810E+10  0.5448329E+10  0.8691296E+10  0.9098683E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1150000E-03  0.1648499E+12  0.1962723E+11 -0.1129369E+10  0.3800519E+17  0.5781299E+12  0.7197377E+12  0.1934105E+11  0.6923134E+10  0.2717950E+11  0.9318177E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1200000E-03  0.1663174E+12  0.1957097E+11 -0.1943905E+10  0.3569511E+17  0.6278686E+12  0.1067773E+13  0.2028648E+11  0.9300765E+10  0.3718784E+11  0.9104771E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1250000E-03  0.3407384E+12  0.3932353E+11 -0.3691265E+09  0.9304156E+17  0.8534997E+12  0.1488033E+13  0.2049580E+11 -0.3007185E+11  0.4194049E+11  0.4636579E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1300000E-03  0.3348104E+12  0.4024739E+11 -0.6432510E+09  0.7921417E+17  0.1008248E+13  0.2244020E+13  0.7500014E+11 -0.3620974E+11  0.3486824E+11  0.4643836E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1350000E-03  0.3282354E+12  0.3817394E+11 -0.4375289E+09  0.7054282E+17  0.1107590E+13  0.3526597E+13  0.7940270E+11 -0.3407046E+11  0.4062091E+11  0.4327480E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1400000E-03  0.6229674E+12  0.1654731E+11 -0.4486890E+09  0.1474209E+18  0.1466267E+13  0.5065026E+13  0.7494131E+11 -0.1800267E+12  0.5615382E+11  0.3679598E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1450000E-03  0.6205056E+12  0.9586802E+10 -0.1294135E+10  0.1267876E+18  0.1691457E+13  0.7667722E+13  0.2303528E+12 -0.1534637E+12  0.6923206E+11  0.2846497E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1500000E-03  0.6000613E+12  0.6591804E+10 -0.1464032E+10  0.1127169E+18  0.1824518E+13  0.1201196E+14  0.2264402E+12 -0.1279083E+12  0.6455982E+11  0.2461233E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1550000E-03  0.6135264E+12 -0.5626371E+10 -0.6875266E+10  0.1379321E+18  0.2036258E+13  0.1718797E+14  0.2106565E+12  0.1491258E+12  0.1100901E+12 -0.3399503E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
