 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Rogowsky Coil data
     time,       VolCurrent     ddtVolCurrent  
  0.5000000E-05  0.4617081E+08  0.0000000E+00
  0.1000000E-04  0.9033470E+08  0.0000000E+00
  0.1500000E-04  0.1325863E+09  0.0000000E+00
  0.2000000E-04  0.1729951E+09  0.0000000E+00
  0.2500000E-04  0.2116919E+09  0.0000000E+00
  0.3000000E-04  0.2487577E+09  0.0000000E+00
  0.3500000E-04  0.2843419E+09  0.0000000E+00
  0.4000000E-04  0.3184065E+09  0.0000000E+00
  0.4500000E-04  0.3510594E+09  0.0000000E+00
  0.5000000E-04  0.3830850E+09  0.0000000E+00
  0.5500000E-04  0.4131943E+09  0.0000000E+00
  0.6000000E-04  0.4420550E+09  0.0000000E+00
  0.6500000E-04  0.4742291E+09  0.0000000E+00
  0.7000000E-04  0.5004458E+09  0.0000000E+00
  0.7500000E-04  0.5256816E+09  0.0000000E+00
  0.8000000E-04  0.5533376E+09  0.0000000E+00
  0.8500000E-04  0.5763194E+09  0.0000000E+00
  0.9000000E-04  0.5983413E+09  0.0000000E+00
  0.9500000E-04  0.6638312E+09  0.0000000E+00
  0.1000000E-03  0.6815622E+09  0.0000000E+00
  0.1050000E-03  0.6986362E+09  0.0000000E+00
  0.1100000E-03  0.7478937E+09  0.0000000E+00
  0.1150000E-03  0.7616555E+09  0.0000000E+00
  0.1200000E-03  0.7749107E+09  0.0000000E+00
  0.1250000E-03  0.8419812E+09  0.0000000E+00
  0.1300000E-03  0.8503469E+09  0.0000000E+00
  0.1350000E-03  0.8586754E+09  0.0000000E+00
  0.1400000E-03  0.8962147E+09  0.0000000E+00
  0.1450000E-03  0.8999732E+09  0.0000000E+00
  0.1500000E-03  0.9042247E+09  0.0000000E+00
  0.1550000E-03  0.8397018E+09  0.0000000E+00
  0.1600000E-03  0.8436898E+09  0.0000000E+00
  0.1650000E-03  0.8484349E+09  0.0000000E+00
  0.1700000E-03  0.7408282E+09  0.0000000E+00
  0.1750000E-03  0.7463933E+09  0.0000000E+00
  0.1800000E-03  0.7523426E+09  0.0000000E+00
  0.1850000E-03  0.6413817E+09  0.0000000E+00
  0.1900000E-03  0.6477833E+09  0.0000000E+00
  0.1950000E-03  0.6544754E+09  0.0000000E+00
  0.2000000E-03  0.5841177E+09  0.0000000E+00
  0.2050000E-03  0.5896243E+09  0.0000000E+00
  0.2100000E-03  0.5953513E+09  0.0000000E+00
