 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.2024323E+10  0.3688551E+10  0.7227869E+09  0.2814905E+16  0.7888136E+10  0.0000000E+00  0.0000000E+00  0.3082690E+10 -0.4626456E+10  0.4898796E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.6972364E+10  0.1274426E+11  0.2750095E+10  0.8214535E+16  0.3663058E+11  0.5130711E+07  0.1682349E+08  0.8452547E+10 -0.1512179E+11  0.1702910E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.1366566E+11  0.2312672E+11  0.5412523E+10  0.1412850E+17  0.8374376E+11  0.1533019E+09  0.2124794E+09  0.9621761E+10 -0.2587701E+11  0.3104959E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04  0.2623491E+11  0.2865895E+11  0.9293369E+10  0.1768655E+17  0.1349194E+12  0.1260198E+10  0.7788232E+09  0.1238693E+12 -0.3372460E+11  0.3727609E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04  0.3832941E+11  0.3271437E+11  0.1256642E+11  0.2132590E+17  0.1916044E+12  0.6448093E+10  0.1612587E+10  0.2243108E+12 -0.4154013E+11  0.3999511E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04  0.5005565E+11  0.3503596E+11  0.1498864E+11  0.2456054E+17  0.2519364E+12  0.2346334E+11  0.2787945E+10  0.3019102E+12 -0.4927764E+11  0.4009785E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04  0.5710357E+11  0.1995242E+11  0.2176554E+10  0.3039095E+17  0.3156322E+12  0.6374857E+11  0.4177497E+10  0.2799877E+12  0.5476228E+11  0.2521350E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04  0.6459575E+11  0.1048511E+11  0.1046841E+10  0.2798397E+17  0.3925801E+12  0.1390373E+12  0.5101292E+10  0.2535868E+12  0.5036931E+11 -0.1892295E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04  0.7529860E+11 -0.5052335E+09  0.4384061E+09  0.2795573E+17  0.4557637E+12  0.2603187E+12  0.6196362E+10  0.2332241E+12  0.6123909E+11 -0.3709344E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03  0.2357320E+12  0.5110873E+11 -0.2306993E+10  0.7198673E+17  0.6918399E+12  0.4449911E+12  0.7475540E+10  0.3780693E+12  0.2424673E+12  0.7193025E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1100000E-03  0.2401297E+12  0.5008295E+11 -0.6491431E+09  0.6053776E+17  0.8709188E+12  0.1028130E+13  0.3995925E+11  0.3466814E+12  0.1849978E+12  0.1510603E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1200000E-03  0.2400450E+12  0.4647761E+11  0.1371242E+10  0.5451427E+17  0.9747533E+12  0.2393731E+13  0.4215795E+11  0.3162021E+12  0.1267906E+12  0.1856996E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1300000E-03  0.9144760E+12 -0.1451823E+11 -0.4343864E+10  0.2409208E+18  0.1993121E+13  0.4359104E+13  0.4233600E+11 -0.5990300E+11  0.1910832E+12 -0.6704252E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1400000E-03  0.8845664E+12 -0.1775787E+11 -0.3893798E+10  0.1906002E+18  0.2521970E+13  0.1112897E+14  0.5014161E+12 -0.5145166E+11  0.1993057E+12 -0.1061523E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1500000E-03  0.8481603E+12 -0.1996667E+11 -0.2356553E+10  0.1594951E+18  0.2782170E+13  0.2853473E+14  0.4420424E+12 -0.3766099E+11  0.1598084E+12 -0.1602987E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1600000E-03  0.7941006E+12 -0.3513363E+11  0.2566466E+10  0.1612570E+18  0.3078677E+13  0.5295454E+14  0.4020584E+12  0.2301712E+12  0.8677856E+11 -0.3676693E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1700000E-03  0.7275627E+12 -0.3547540E+11  0.3446017E+10  0.1409324E+18  0.3156957E+13  0.8300773E+14  0.5013590E+12  0.1943929E+12  0.4502690E+11 -0.3712217E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
