 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Circuit data
          time,       Voltage,        Charge,       Current,       ResistD,       ResistJ,        Induct,       Mutual1,       Mutual2,        Mutual3
  0.10000000E-04  0.71704577E+09  0.74999944E+09  0.11231381E+09  0.98180661E-02  0.58309986E-02  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20000000E-04  0.66340372E+09  0.74999780E+09  0.21520189E+09  0.98180661E-02  0.12386095E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30000000E-04  0.61426240E+09  0.74999518E+09  0.30958215E+09  0.98180661E-02  0.13703445E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40000000E-04  0.56922654E+09  0.74999165E+09  0.39658582E+09  0.98277659E-02  0.13418271E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50000000E-04  0.52767430E+09  0.74998728E+09  0.47640803E+09  0.98277659E-02  0.12802272E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60000000E-04  0.48955079E+09  0.74998215E+09  0.54979776E+09  0.98277659E-02  0.12172836E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70000000E-04  0.45511887E+09  0.74997627E+09  0.62542565E+09  0.10269312E-01  0.12643726E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80000000E-04  0.41903810E+09  0.74996972E+09  0.68623118E+09  0.10269312E-01  0.13222003E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90000000E-04  0.39002708E+09  0.74996257E+09  0.74248983E+09  0.10269312E-01  0.11573823E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10000000E-03  0.36527144E+09  0.74995445E+09  0.88212591E+09  0.12067651E-01  0.73289996E-02  0.95148152E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11000000E-03  0.29884149E+09  0.74994543E+09  0.92088664E+09  0.12067651E-01  0.86286280E-02  0.95148152E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12000000E-03  0.28039514E+09  0.74993605E+09  0.95659147E+09  0.12067651E-01  0.74548826E-02  0.95148152E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13000000E-03  0.26922349E+09  0.74992581E+09  0.10904705E+10  0.17398954E-01  0.10127830E-01  0.15528931E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14000000E-03  0.20594007E+09  0.74991483E+09  0.11053104E+10  0.17398954E-01  0.19541256E-01  0.15528931E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15000000E-03  0.19891592E+09  0.74990370E+09  0.11208850E+10  0.17398954E-01  0.14922772E-01  0.15528931E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16000000E-03  0.20788022E+09  0.74989365E+09  0.89025185E+09  0.35569759E-01  0.20863713E-01  0.36617992E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17000000E-03  0.31494366E+09  0.74988466E+09  0.90713298E+09  0.35569759E-01  0.55560605E-01  0.36617992E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18000000E-03  0.30709774E+09  0.74987550E+09  0.92489932E+09  0.35569759E-01  0.43378422E-01  0.36617992E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
