 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Rogowsky Coil data
     time,       VolCurrent     ddtVolCurrent  
  0.1000000E-04  0.1123138E+09  0.0000000E+00
  0.2000000E-04  0.2152019E+09  0.0000000E+00
  0.3000000E-04  0.3095821E+09  0.0000000E+00
  0.4000000E-04  0.3965858E+09  0.0000000E+00
  0.5000000E-04  0.4764080E+09  0.0000000E+00
  0.6000000E-04  0.5497978E+09  0.0000000E+00
  0.7000000E-04  0.6251924E+09  0.0000000E+00
  0.8000000E-04  0.6858118E+09  0.0000000E+00
  0.9000000E-04  0.7419335E+09  0.0000000E+00
  0.1000000E-03  0.8820654E+09  0.0000000E+00
  0.1100000E-03  0.9208573E+09  0.0000000E+00
  0.1200000E-03  0.9565920E+09  0.0000000E+00
  0.1300000E-03  0.1079627E+10  0.0000000E+00
  0.1400000E-03  0.1095136E+10  0.0000000E+00
  0.1500000E-03  0.1111909E+10  0.0000000E+00
  0.1600000E-03  0.9138779E+09  0.0000000E+00
  0.1700000E-03  0.9301680E+09  0.0000000E+00
  0.1800000E-03  0.9473989E+09  0.0000000E+00
