 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.1576799E+11  0.3153598E+12  0.2812496E+18  0.3409532E+16  0.8877284E+10  0.4350132E+11  0.2846595E+18  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.3000000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.4000000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.5000000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.6000000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.7000000E-04  0.1968272E+13  0.9771638E+13  0.2812322E+18  0.4310507E+17  0.4836241E+12  0.1466720E+13  0.3243510E+18  0.4177497E+10  0.6374857E+11
  0.8000000E-04  0.2394028E+13  0.1175845E+14  0.2812273E+18  0.4113270E+17  0.6228213E+12  0.1764940E+13  0.3223765E+18  0.5119958E+10  0.1374998E+12
  0.9000000E-04  0.2794079E+13  0.1376163E+14  0.2812219E+18  0.4161817E+17  0.7515019E+12  0.2065618E+13  0.3228595E+18  0.6285668E+10  0.2512353E+12
  0.1000000E-03  0.3519543E+13  0.1945099E+14  0.2812158E+18  0.8614957E+17  0.9897073E+12  0.3689051E+13  0.3673931E+18  0.7641080E+10  0.4179796E+12
  0.1100000E-03  0.4247152E+13  0.2119946E+14  0.2812091E+18  0.7341908E+17  0.1212325E+13  0.4020663E+13  0.3546589E+18  0.3845977E+11  0.9455537E+12
  0.1200000E-03  0.4579468E+13  0.2287671E+14  0.2812020E+18  0.6714691E+17  0.1375797E+13  0.4338769E+13  0.3483821E+18  0.4085767E+11  0.2192209E+13
  0.1300000E-03  0.5238665E+13  0.2913985E+14  0.2811944E+18  0.2635633E+18  0.2445109E+13  0.8884046E+13  0.5448035E+18  0.4132238E+11  0.3966255E+13
  0.1400000E-03  0.5898850E+13  0.2998306E+14  0.2811863E+18  0.2091123E+18  0.3069864E+13  0.9141120E+13  0.4903466E+18  0.4554870E+12  0.9816872E+13
  0.1500000E-03  0.6066174E+13  0.3090853E+14  0.2811780E+18  0.1775246E+18  0.3456115E+13  0.9423274E+13  0.4587525E+18  0.3867037E+12  0.2420705E+14
  0.1600000E-03  0.4797352E+13  0.2087932E+14  0.2811704E+18  0.2653026E+18  0.3751439E+13  0.1449588E+14  0.5465169E+18  0.3674904E+12  0.4372748E+14
  0.1700000E-03  0.4072353E+13  0.2163031E+14  0.2811635E+18  0.2216073E+18  0.4037643E+13  0.1501727E+14  0.5028155E+18  0.5050387E+12  0.7029816E+14
  0.1800000E-03  0.4214565E+13  0.2243912E+14  0.2811564E+18  0.1918737E+18  0.4281022E+13  0.1557880E+14  0.4730766E+18  0.4142542E+12  0.1054657E+15
