 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.1349540E+08  0.1281761E+09 -0.2542000E+10  0.2942180E+15  0.4806986E+09  0.0000000E+00  0.0000000E+00 -0.3247172E+10  0.2329949E+12  0.1244847E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.4004721E+08  0.6402449E+09 -0.1156823E+11  0.9466339E+15  0.3218808E+10  0.0000000E+00  0.0000000E+00 -0.1477182E+11  0.1060058E+13  0.6199143E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.5013465E+08  0.1611602E+10 -0.2679916E+11  0.1742134E+16  0.9764723E+10  0.0000000E+00  0.0000000E+00 -0.3413703E+11  0.2454890E+13  0.1556609E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04 -0.3726526E+07  0.2762716E+10 -0.4545389E+11  0.2527360E+16  0.2061134E+11  0.0000000E+00  0.0000000E+00 -0.5329088E+11  0.4185418E+13  0.2685338E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04 -0.1607459E+09  0.4192433E+10 -0.6733370E+11  0.3317412E+16  0.3607226E+11  0.0000000E+00  0.0000000E+00 -0.7395841E+11  0.6205828E+13  0.4074059E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04 -0.4508399E+09  0.5838125E+10 -0.9108507E+11  0.4065574E+16  0.5607644E+11  0.0000000E+00  0.0000000E+00 -0.9520528E+11  0.8388000E+13  0.5659411E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04 -0.7260939E+09  0.8936991E+10 -0.1395014E+12  0.6318809E+16  0.8389394E+11  0.0000000E+00  0.0000000E+00 -0.1516547E+12  0.1279372E+14  0.8143874E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04 -0.7019072E+09  0.1044296E+11 -0.1649257E+12  0.6511302E+16  0.1157405E+12  0.0000000E+00  0.0000000E+00 -0.1774814E+12  0.1506404E+14  0.9434601E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04 -0.1076876E+10  0.1197937E+11 -0.1863289E+12  0.6750857E+16  0.1492884E+12  0.0000000E+00  0.0000000E+00 -0.2014511E+12  0.1697283E+14  0.1074690E+13  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03  0.9787223E+09  0.1538391E+11 -0.1420396E+12  0.7830939E+16  0.1525766E+12  0.0000000E+00  0.0000000E+00 -0.2742426E+12  0.1196532E+14  0.1265406E+13  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
