 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.1576799E+11  0.3153598E+12  0.2812496E+18  0.3409532E+16  0.8877284E+10  0.4350132E+11  0.2846595E+18  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.3000000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.4000000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.5000000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.6000000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.7000000E-04  0.1968758E+13  0.9776467E+13  0.2812322E+18  0.4284182E+17  0.4823316E+12  0.1467445E+13  0.3240877E+18  0.4177497E+10  0.6374857E+11
  0.8000000E-04  0.2395491E+13  0.1176812E+14  0.2812273E+18  0.4091770E+17  0.6200917E+12  0.1766392E+13  0.3221615E+18  0.5131223E+10  0.1374422E+12
  0.9000000E-04  0.2796483E+13  0.1377597E+14  0.2812219E+18  0.4156171E+17  0.7476409E+12  0.2067770E+13  0.3228030E+18  0.6311891E+10  0.2510089E+12
  0.1000000E-03  0.3521318E+13  0.1945475E+14  0.2812158E+18  0.8784146E+17  0.9890322E+12  0.3690321E+13  0.3690850E+18  0.7701039E+10  0.4168522E+12
  0.1100000E-03  0.4246517E+13  0.2119015E+14  0.2812091E+18  0.7475951E+17  0.1214458E+13  0.4019504E+13  0.3559993E+18  0.3961678E+11  0.9561389E+12
  0.1200000E-03  0.4576339E+13  0.2285480E+14  0.2812020E+18  0.6823039E+17  0.1378269E+13  0.4335266E+13  0.3494656E+18  0.4203296E+11  0.2231735E+13
  0.1300000E-03  0.5226869E+13  0.2904913E+14  0.2811944E+18  0.2618282E+18  0.2440278E+13  0.8881816E+13  0.5430683E+18  0.4258961E+11  0.4055038E+13
  0.1400000E-03  0.5881699E+13  0.2990493E+14  0.2811863E+18  0.2075722E+18  0.3062265E+13  0.9143481E+13  0.4888065E+18  0.4513694E+12  0.9992582E+13
  0.1500000E-03  0.6050970E+13  0.3083884E+14  0.2811780E+18  0.1764136E+18  0.3445771E+13  0.9429025E+13  0.4576414E+18  0.3835780E+12  0.2459206E+14
  0.1600000E-03  0.4773163E+13  0.2072760E+14  0.2811704E+18  0.2626278E+18  0.3738643E+13  0.1447320E+14  0.5438420E+18  0.3634770E+12  0.4432375E+14
  0.1700000E-03  0.4043904E+13  0.2149223E+14  0.2811635E+18  0.2193806E+18  0.4016687E+13  0.1500711E+14  0.5005887E+18  0.5008815E+12  0.7100480E+14
  0.1800000E-03  0.4188328E+13  0.2231230E+14  0.2811565E+18  0.1899107E+18  0.4252819E+13  0.1557973E+14  0.4711136E+18  0.4115108E+12  0.1060261E+15
