 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Rogowsky Coil data
     time,       VolCurrent     ddtVolCurrent  
  0.1000000E-04  0.1123138E+09  0.0000000E+00
  0.2000000E-04  0.2152019E+09  0.0000000E+00
  0.3000000E-04  0.3095821E+09  0.0000000E+00
  0.4000000E-04  0.3965858E+09  0.0000000E+00
  0.5000000E-04  0.4764080E+09  0.0000000E+00
  0.6000000E-04  0.5497978E+09  0.0000000E+00
  0.7000000E-04  0.6253468E+09  0.0000000E+00
  0.8000000E-04  0.6860939E+09  0.0000000E+00
  0.9000000E-04  0.7423200E+09  0.0000000E+00
  0.1000000E-03  0.8821508E+09  0.0000000E+00
  0.1100000E-03  0.9206552E+09  0.0000000E+00
  0.1200000E-03  0.9561338E+09  0.0000000E+00
  0.1300000E-03  0.1077945E+10  0.0000000E+00
  0.1400000E-03  0.1093708E+10  0.0000000E+00
  0.1500000E-03  0.1110655E+10  0.0000000E+00
  0.1600000E-03  0.9105514E+09  0.0000000E+00
  0.1700000E-03  0.9271942E+09  0.0000000E+00
  0.1800000E-03  0.9447179E+09  0.0000000E+00
