 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Circuit data
          time,       Voltage,        Charge,       Current,       ResistD,       ResistJ,        Induct,       Mutual1,       Mutual2,        Mutual3
  0.10000000E-04  0.43022746E+09  0.44999966E+09  0.67388287E+08  0.98180661E-02  0.58309986E-02  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20000000E-04  0.39804223E+09  0.44999868E+09  0.12912114E+09  0.98180661E-02  0.12386095E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30000000E-04  0.36855744E+09  0.44999711E+09  0.18574929E+09  0.98180661E-02  0.13703445E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40000000E-04  0.34151975E+09  0.44999499E+09  0.23768998E+09  0.98621613E-02  0.13499844E-01  0.69140758E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50000000E-04  0.31671169E+09  0.44999237E+09  0.28539565E+09  0.98621613E-02  0.12872805E-01  0.69140758E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60000000E-04  0.29392574E+09  0.44998930E+09  0.32927321E+09  0.98621613E-02  0.12188437E-01  0.69140758E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70000000E-04  0.27308045E+09  0.44998580E+09  0.37030469E+09  0.99435482E-02  0.11452251E-01  0.70858855E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80000000E-04  0.25348779E+09  0.44998191E+09  0.40740850E+09  0.99435482E-02  0.10849520E-01  0.70858855E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90000000E-04  0.23576991E+09  0.44997767E+09  0.44158914E+09  0.99435482E-02  0.10216046E-01  0.70858855E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10000000E-03  0.21983103E+09  0.44997306E+09  0.47984094E+09  0.10467054E-01  0.11082314E-01  0.76850773E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11000000E-03  0.20157990E+09  0.44996812E+09  0.50818764E+09  0.10467054E-01  0.12311895E-01  0.76850773E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12000000E-03  0.18805334E+09  0.44996291E+09  0.53447028E+09  0.10467054E-01  0.10787931E-01  0.76850773E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13000000E-03  0.17633388E+09  0.44995713E+09  0.62180621E+09  0.11692781E-01  0.60576106E-02  0.91088092E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14000000E-03  0.13472538E+09  0.44995082E+09  0.63877194E+09  0.11692781E-01  0.67954775E-02  0.91088092E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15000000E-03  0.12663763E+09  0.44994436E+09  0.65429484E+09  0.11692781E-01  0.57950160E-02  0.91088092E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16000000E-03  0.12098839E+09  0.44993751E+09  0.71545968E+09  0.14533553E-01  0.76599228E-02  0.12242199E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17000000E-03  0.91919766E+08  0.44993032E+09  0.72190389E+09  0.14533553E-01  0.12142794E-01  0.12242199E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18000000E-03  0.88850947E+08  0.44992307E+09  0.72830044E+09  0.14533553E-01  0.98217686E-02  0.12242199E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19000000E-03  0.90148774E+08  0.44991579E+09  0.72866635E+09  0.21419407E-01  0.11922227E-01  0.20198161E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20000000E-03  0.89969040E+08  0.44990849E+09  0.72999688E+09  0.21419407E-01  0.25891054E-01  0.20198161E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21000000E-03  0.89334008E+08  0.44990118E+09  0.73279492E+09  0.21419407E-01  0.20147851E-01  0.20198161E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22000000E-03  0.94526395E+08  0.44989457E+09  0.58830734E+09  0.37036702E-01  0.24084293E-01  0.38482129E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23000000E-03  0.16208399E+09  0.44988866E+09  0.59519403E+09  0.37036702E-01  0.55842910E-01  0.38482129E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24000000E-03  0.15885795E+09  0.44988267E+09  0.60277516E+09  0.37036702E-01  0.44213876E-01  0.38482129E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25000000E-03  0.15961017E+09  0.44987733E+09  0.46529373E+09  0.71762814E-01  0.50902137E-01  0.70359906E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26000000E-03  0.22367921E+09  0.44987263E+09  0.47329558E+09  0.71762814E-01  0.81123685E-01  0.70359906E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27000000E-03  0.21994529E+09  0.44986786E+09  0.48191472E+09  0.71762814E-01  0.68083554E-01  0.70359906E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
