 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.1044568E+08  0.3439954E+08  0.9505326E+09  0.1081474E+15  0.1830417E+09  0.0000000E+00  0.0000000E+00  0.5118283E+09 -0.8679646E+11  0.3294266E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.3692612E+08  0.1554406E+09  0.4310847E+10  0.3472276E+15  0.1219942E+10  0.0000000E+00  0.0000000E+00  0.2044037E+10 -0.3937257E+12  0.1504859E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.6397499E+08  0.3580571E+09  0.9957566E+10  0.6379323E+15  0.3685653E+10  0.0000000E+00  0.0000000E+00  0.4146262E+10 -0.9095094E+12  0.3500042E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04  0.2867562E+08  0.6920151E+09  0.1694452E+11  0.9245805E+15  0.7766996E+10  0.0000000E+00  0.0000000E+00  0.7416289E+10 -0.1551923E+13  0.6761600E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04 -0.3265786E+08  0.1102148E+10  0.2496387E+11  0.1203992E+16  0.1352176E+11  0.0000000E+00  0.0000000E+00  0.1059840E+11 -0.2289198E+13  0.1078929E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04 -0.1195776E+09  0.1559319E+10  0.3354021E+11  0.1465079E+16  0.2087767E+11  0.0000000E+00  0.0000000E+00  0.1332332E+11 -0.3076916E+13  0.1530902E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04  0.2120863E+09  0.2014939E+10  0.4147596E+11  0.1711002E+16  0.2934855E+11  0.0000000E+00  0.0000000E+00  0.2279318E+11 -0.3795472E+13  0.1940707E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04  0.1038686E+09  0.2528613E+10  0.4912313E+11  0.1888623E+16  0.3896645E+11  0.0000000E+00  0.0000000E+00  0.2320478E+11 -0.4492830E+13  0.2410926E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04 -0.1100880E+07  0.2960575E+10  0.5657814E+11  0.2057835E+16  0.4955856E+11  0.0000000E+00  0.0000000E+00  0.2278490E+11 -0.5170645E+13  0.2818735E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03 -0.4807581E+09  0.3448064E+10  0.8103147E+11  0.3222242E+16  0.6350727E+11  0.0000000E+00  0.0000000E+00  0.1219729E+11 -0.7399963E+13  0.3260721E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
