 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Rogowsky Coil data
     time,       VolCurrent     ddtVolCurrent  
  0.1000000E-04  0.6738829E+08  0.0000000E+00
  0.2000000E-04  0.1291211E+09  0.0000000E+00
  0.3000000E-04  0.1857493E+09  0.0000000E+00
  0.4000000E-04  0.2376900E+09  0.0000000E+00
  0.5000000E-04  0.2853956E+09  0.0000000E+00
  0.6000000E-04  0.3292732E+09  0.0000000E+00
  0.7000000E-04  0.3703047E+09  0.0000000E+00
  0.8000000E-04  0.4074085E+09  0.0000000E+00
  0.9000000E-04  0.4415891E+09  0.0000000E+00
  0.1000000E-03  0.4798409E+09  0.0000000E+00
  0.1100000E-03  0.5081876E+09  0.0000000E+00
  0.1200000E-03  0.5344703E+09  0.0000000E+00
  0.1300000E-03  0.6218062E+09  0.0000000E+00
  0.1400000E-03  0.6387719E+09  0.0000000E+00
  0.1500000E-03  0.6542948E+09  0.0000000E+00
  0.1600000E-03  0.7154597E+09  0.0000000E+00
  0.1700000E-03  0.7219039E+09  0.0000000E+00
  0.1800000E-03  0.7283004E+09  0.0000000E+00
  0.1900000E-03  0.7286664E+09  0.0000000E+00
  0.2000000E-03  0.7299969E+09  0.0000000E+00
  0.2100000E-03  0.7327949E+09  0.0000000E+00
  0.2200000E-03  0.5883073E+09  0.0000000E+00
  0.2300000E-03  0.5951940E+09  0.0000000E+00
  0.2400000E-03  0.6027752E+09  0.0000000E+00
  0.2500000E-03  0.4652937E+09  0.0000000E+00
  0.2600000E-03  0.4732956E+09  0.0000000E+00
  0.2700000E-03  0.4819147E+09  0.0000000E+00
