 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Iteration time
      time      It. Time    Accumulated
  0.1000E-04  0.000000E+00  0.000000E+00
  0.2000E-04  0.295290E+02  0.295290E+02
  0.3000E-04  0.371100E+01  0.332400E+02
  0.4000E-04  0.380600E+01  0.370460E+02
  0.5000E-04  0.293660E+02  0.664120E+02
  0.6000E-04  0.391000E+01  0.703220E+02
  0.7000E-04  0.397200E+01  0.742940E+02
  0.8000E-04  0.294580E+02  0.103752E+03
  0.9000E-04  0.390800E+01  0.107660E+03
  0.1000E-03  0.394099E+01  0.111601E+03
  0.1100E-03  0.294570E+02  0.141058E+03
  0.1200E-03  0.372800E+01  0.144786E+03
  0.1300E-03  0.373199E+01  0.148518E+03
  0.1400E-03  0.298000E+02  0.178318E+03
  0.1500E-03  0.416101E+01  0.182479E+03
  0.1600E-03  0.403000E+01  0.186509E+03
  0.1700E-03  0.295490E+02  0.216058E+03
  0.1800E-03  0.407899E+01  0.220137E+03
  0.1900E-03  0.393500E+01  0.224072E+03
  0.2000E-03  0.301870E+02  0.254259E+03
  0.2100E-03  0.421100E+01  0.258470E+03
  0.2200E-03  0.396899E+01  0.262439E+03
  0.2300E-03  0.293000E+02  0.291739E+03
  0.2400E-03  0.389102E+01  0.295630E+03
  0.2500E-03  0.395390E+02  0.335169E+03
  0.2600E-03  0.316060E+02  0.366775E+03
  0.2700E-03  0.368201E+01  0.370457E+03
  0.2800E-03  0.370499E+01  0.374162E+03
  0.2900E-03  0.141022E+00  0.374303E+03
  0.3000E-03  0.342987E+00  0.374646E+03
  0.3100E-03  0.490112E-01  0.374695E+03
  0.3200E-03  0.164001E+00  0.374859E+03
  0.3300E-03  0.429993E-01  0.374902E+03
  0.3400E-03  0.409851E-01  0.374943E+03
  0.3500E-03  0.152008E+00  0.375095E+03
  0.3600E-03  0.419922E-01  0.375137E+03
  0.3700E-03  0.390015E-01  0.375176E+03
  0.3800E-03  0.134003E+00  0.375310E+03
  0.3900E-03  0.450134E-01  0.375355E+03
  0.4000E-03  0.230988E+00  0.375586E+03
  0.4100E-03  0.507996E+00  0.376094E+03
  0.4200E-03  0.196301E+01  0.378057E+03
  0.4300E-03  0.429993E-01  0.378100E+03
  0.4400E-03  0.132996E+00  0.378233E+03
  0.4500E-03  0.419922E-01  0.378275E+03
  0.4600E-03  0.910034E-01  0.378366E+03
  0.4700E-03  0.152985E+00  0.378519E+03
  0.4800E-03  0.450134E-01  0.378564E+03
  0.4900E-03  0.599976E-01  0.378624E+03
  0.5000E-03  0.144012E+00  0.378768E+03
  0.5100E-03  0.390015E-01  0.378807E+03
  0.5200E-03  0.109985E+00  0.378917E+03
  0.5300E-03  0.154999E+00  0.379072E+03
  0.5400E-03  0.440063E-01  0.379116E+03
  0.5500E-03  0.400085E-01  0.379156E+03
  0.5600E-03  0.187988E+00  0.379344E+03
  0.5700E-03  0.440063E-01  0.379388E+03
  0.5800E-03  0.134003E+00  0.379522E+03
  0.5900E-03  0.136993E+00  0.379659E+03
  0.6000E-03  0.379944E-01  0.379697E+03
  0.6100E-03  0.490112E-01  0.379746E+03
  0.6200E-03  0.135986E+00  0.379882E+03
  0.6300E-03  0.420227E-01  0.379924E+03
  0.6400E-03  0.419922E-01  0.379966E+03
  0.6500E-03  0.140991E+00  0.380107E+03
  0.6600E-03  0.379944E-01  0.380145E+03
  0.6700E-03  0.128998E+00  0.380274E+03
  0.6800E-03  0.182007E+00  0.380456E+03
  0.6900E-03  0.459900E-01  0.380502E+03
  0.7000E-03  0.780029E-01  0.380580E+03
  0.7100E-03  0.154022E+00  0.380734E+03
  0.7200E-03  0.409851E-01  0.380775E+03
  0.7300E-03  0.419922E-01  0.380817E+03
  0.7400E-03  0.162018E+00  0.380979E+03
  0.7500E-03  0.379944E-01  0.381017E+03
  0.7600E-03  0.440063E-01  0.381061E+03
  0.7700E-03  0.131989E+00  0.381193E+03
  0.7800E-03  0.440063E-01  0.381237E+03
  0.7900E-03  0.459900E-01  0.381283E+03
  0.8000E-03  0.134003E+00  0.381417E+03
  0.8100E-03  0.429993E-01  0.381460E+03
  0.8200E-03  0.469971E-01  0.381507E+03
  0.8300E-03  0.135010E+00  0.381642E+03
  0.8400E-03  0.409851E-01  0.381683E+03
  0.8500E-03  0.440063E-01  0.381727E+03
  0.8600E-03  0.140015E+00  0.381867E+03
  0.8700E-03  0.480042E-01  0.381915E+03
  0.8800E-03  0.780029E-01  0.381993E+03
  0.8900E-03  0.151978E+00  0.382145E+03
  0.9000E-03  0.400085E-01  0.382185E+03
  0.9100E-03  0.539856E-01  0.382239E+03
  0.9200E-03  0.165009E+00  0.382404E+03
  0.9300E-03  0.429993E-01  0.382447E+03
  0.9400E-03  0.509949E-01  0.382498E+03
  0.9500E-03  0.151001E+00  0.382649E+03
  0.9600E-03  0.429993E-01  0.382692E+03
  0.9700E-03  0.550232E-01  0.382747E+03
  0.9800E-03  0.155975E+00  0.382903E+03
  0.9900E-03  0.429993E-01  0.382946E+03
