 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Circuit data
          time,       Voltage,        Charge,       Current,       ResistD,       ResistJ,        Induct,       Mutual1,       Mutual2,        Mutual3
  0.10000000E-04  0.28681831E+09  0.29999978E+09  0.44925525E+08  0.98180661E-02  0.58309986E-02  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20000000E-04  0.26536149E+09  0.29999912E+09  0.86080758E+08  0.98180661E-02  0.12386095E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30000000E-04  0.24570496E+09  0.29999807E+09  0.12383286E+09  0.98180661E-02  0.13703445E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40000000E-04  0.22767617E+09  0.29999666E+09  0.15855184E+09  0.98245356E-02  0.13517781E-01  0.69045940E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50000000E-04  0.21109319E+09  0.29999491E+09  0.19044381E+09  0.98245356E-02  0.12915659E-01  0.69045940E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60000000E-04  0.19586006E+09  0.29999286E+09  0.21976752E+09  0.98245356E-02  0.12240618E-01  0.69045940E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70000000E-04  0.18189029E+09  0.29999053E+09  0.24719122E+09  0.98193448E-02  0.11715897E-01  0.69893861E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80000000E-04  0.16879280E+09  0.29998793E+09  0.27207792E+09  0.98193448E-02  0.11286369E-01  0.69893861E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90000000E-04  0.15690652E+09  0.29998510E+09  0.29500283E+09  0.98193448E-02  0.10659649E-01  0.69893861E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10000000E-03  0.14609345E+09  0.29998202E+09  0.31927195E+09  0.10077078E-01  0.11007434E-01  0.73019946E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11000000E-03  0.13450695E+09  0.29997874E+09  0.33849978E+09  0.10077078E-01  0.11475727E-01  0.73019946E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12000000E-03  0.12532643E+09  0.29997526E+09  0.35622528E+09  0.10077078E-01  0.10224389E-01  0.73019946E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13000000E-03  0.11708958E+09  0.29997149E+09  0.39824141E+09  0.10670282E-01  0.55853707E-02  0.79331321E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14000000E-03  0.97041765E+08  0.29996744E+09  0.41133043E+09  0.10670282E-01  0.52760953E-02  0.79331321E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15000000E-03  0.90793645E+08  0.29996327E+09  0.42357301E+09  0.10670282E-01  0.47667665E-02  0.79331321E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
