 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.2522878E+10  0.5045757E+11  0.4499993E+17  0.5455252E+15  0.1420365E+10  0.6960212E+10  0.4554552E+17  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.4036848E+11  0.1852474E+12  0.4499974E+17  0.1619325E+16  0.6915256E+10  0.2555338E+11  0.4661932E+17  0.4306080E+06  0.1313607E+06
  0.3000000E-04  0.8123473E+11  0.3833644E+12  0.4499942E+17  0.2817334E+16  0.1657837E+11  0.5288201E+11  0.4781729E+17  0.5440948E+07  0.3925034E+07
  0.4000000E-04  0.1312233E+12  0.6284671E+12  0.4499900E+17  0.3720413E+16  0.2883381E+11  0.8678621E+11  0.4872029E+17  0.1998529E+08  0.3227245E+08
  0.5000000E-04  0.1876979E+12  0.9067211E+12  0.4499847E+17  0.4620092E+16  0.4365355E+11  0.1252108E+12  0.4961983E+17  0.4317961E+08  0.1552282E+09
  0.6000000E-04  0.2484882E+12  0.1207444E+13  0.4499786E+17  0.5434759E+16  0.6056432E+11  0.1667382E+12  0.5043430E+17  0.7611266E+08  0.5346013E+09
  0.7000000E-04  0.3122870E+12  0.1527587E+13  0.4499716E+17  0.6033842E+16  0.7744644E+11  0.2135380E+12  0.5103313E+17  0.1157193E+09  0.1430294E+10
  0.8000000E-04  0.3776750E+12  0.1850660E+13  0.4499638E+17  0.6507049E+16  0.9620926E+11  0.2586995E+12  0.5150601E+17  0.1519542E+09  0.3247799E+10
  0.9000000E-04  0.4428959E+12  0.2175667E+13  0.4499553E+17  0.6934763E+16  0.1156844E+12  0.3041315E+12  0.5193333E+17  0.1912079E+09  0.6485921E+10
  0.1000000E-03  0.5117277E+12  0.2548364E+13  0.4499461E+17  0.1049698E+17  0.1409755E+12  0.3721629E+12  0.5549516E+17  0.2283495E+09  0.1160441E+11
  0.1100000E-03  0.5799085E+12  0.2864553E+13  0.4499362E+17  0.9511178E+16  0.1693228E+12  0.4183390E+12  0.5450883E+17  0.3173067E+09  0.1738789E+11
  0.1200000E-03  0.6414072E+12  0.3172411E+13  0.4499258E+17  0.9206352E+16  0.1932993E+12  0.4632986E+12  0.5420340E+17  0.3645054E+09  0.2308792E+11
  0.1300000E-03  0.7479778E+12  0.3964905E+13  0.4499145E+17  0.1174927E+17  0.2012557E+12  0.6290824E+12  0.5674626E+17  0.3932900E+09  0.3088849E+11
  0.1400000E-03  0.8503687E+12  0.4229818E+13  0.4499023E+17  0.9770476E+16  0.2220330E+12  0.6711141E+12  0.5476668E+17  0.7555317E+09  0.4811809E+11
  0.1500000E-03  0.9008517E+12  0.4485352E+13  0.4498898E+17  0.9113752E+16  0.2392391E+12  0.7116579E+12  0.5410907E+17  0.7856332E+09  0.8117774E+11
  0.1600000E-03  0.9876260E+12  0.5152385E+13  0.4498766E+17  0.1554273E+17  0.2948466E+12  0.9364643E+12  0.6053777E+17  0.8385634E+09  0.1275177E+12
  0.1700000E-03  0.1068214E+13  0.5335148E+13  0.4498629E+17  0.1341575E+17  0.3294393E+12  0.9696821E+12  0.5840975E+17  0.2176890E+10  0.2081376E+12
  0.1800000E-03  0.1102876E+13  0.5513098E+13  0.4498489E+17  0.1232163E+17  0.3519286E+12  0.1002025E+13  0.5731450E+17  0.2017156E+10  0.3333862E+12
  0.1900000E-03  0.1178593E+13  0.6197344E+13  0.4498344E+17  0.2738398E+17  0.4653390E+12  0.1419189E+13  0.7237669E+17  0.1992398E+10  0.4831402E+12
  0.2000000E-03  0.1250501E+13  0.6287850E+13  0.4498194E+17  0.2270555E+17  0.5352451E+12  0.1439915E+13  0.6769701E+17  0.7152319E+10  0.7465911E+12
  0.2100000E-03  0.1267907E+13  0.6380085E+13  0.4498043E+17  0.2009862E+17  0.5781325E+12  0.1461036E+13  0.6508874E+17  0.6399031E+10  0.1167211E+13
  0.2200000E-03  0.1348500E+13  0.7265787E+13  0.4497887E+17  0.5665628E+17  0.8065968E+12  0.2314964E+13  0.1016469E+18  0.6128457E+10  0.1658826E+13
  0.2300000E-03  0.1423545E+13  0.7212441E+13  0.4497725E+17  0.4452371E+17  0.9309682E+12  0.2297967E+13  0.8951283E+17  0.2907397E+11  0.2684163E+13
  0.2400000E-03  0.1416280E+13  0.7187118E+13  0.4497564E+17  0.3810127E+17  0.9988836E+12  0.2289899E+13  0.8308881E+17  0.2522714E+11  0.4540500E+13
  0.2500000E-03  0.1252023E+13  0.5842140E+13  0.4497412E+17  0.5336435E+17  0.1012035E+13  0.2898643E+13  0.9834947E+17  0.2250357E+11  0.6726432E+13
  0.2600000E-03  0.1138642E+13  0.5856208E+13  0.4497267E+17  0.4429572E+17  0.1033456E+13  0.2905623E+13  0.8927932E+17  0.2637423E+11  0.9256468E+13
  0.2700000E-03  0.1142763E+13  0.5885492E+13  0.4497121E+17  0.3820251E+17  0.1051955E+13  0.2920152E+13  0.8318472E+17  0.2126842E+11  0.1207978E+14
  0.2800000E-03  0.9495082E+12  0.4193991E+13  0.4496987E+17  0.4676706E+17  0.1020573E+13  0.3367280E+13  0.9174646E+17  0.1845699E+11  0.1505894E+14
  0.2900000E-03  0.8167194E+12  0.4267491E+13  0.4496864E+17  0.3982752E+17  0.1024567E+13  0.3426293E+13  0.8480569E+17  0.1744902E+11  0.1809900E+14
  0.3000000E-03  0.8312880E+12  0.4350953E+13  0.4496739E+17  0.3523176E+17  0.1038924E+13  0.3493303E+13  0.8020886E+17  0.1458428E+11  0.2117090E+14
  0.3100000E-03  0.6901596E+12  0.2993719E+13  0.4496625E+17  0.4088919E+17  0.1006065E+13  0.3660950E+13  0.8586379E+17  0.1236701E+11  0.2428477E+14
  0.3200000E-03  0.5863732E+12  0.3079913E+13  0.4496520E+17  0.3563432E+17  0.1008730E+13  0.3766354E+13  0.8060796E+17  0.1166320E+11  0.2738966E+14
  0.3300000E-03  0.6029732E+12  0.3172564E+13  0.4496414E+17  0.3208130E+17  0.1023599E+13  0.3879654E+13  0.7705412E+17  0.1016625E+11  0.3043326E+14
