 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Rogowsky Coil data
     time,       VolCurrent     ddtVolCurrent  
  0.1000000E-04  0.4492552E+08  0.0000000E+00
  0.2000000E-04  0.8608076E+08  0.0000000E+00
  0.3000000E-04  0.1238329E+09  0.0000000E+00
  0.4000000E-04  0.1585518E+09  0.0000000E+00
  0.5000000E-04  0.1904438E+09  0.0000000E+00
  0.6000000E-04  0.2197675E+09  0.0000000E+00
  0.7000000E-04  0.2471912E+09  0.0000000E+00
  0.8000000E-04  0.2720779E+09  0.0000000E+00
  0.9000000E-04  0.2950028E+09  0.0000000E+00
  0.1000000E-03  0.3192720E+09  0.0000000E+00
  0.1100000E-03  0.3384998E+09  0.0000000E+00
  0.1200000E-03  0.3562253E+09  0.0000000E+00
  0.1300000E-03  0.3982414E+09  0.0000000E+00
  0.1400000E-03  0.4113304E+09  0.0000000E+00
  0.1500000E-03  0.4235730E+09  0.0000000E+00
  0.1600000E-03  0.4539773E+09  0.0000000E+00
  0.1700000E-03  0.4619588E+09  0.0000000E+00
  0.1800000E-03  0.4695998E+09  0.0000000E+00
  0.1900000E-03  0.4978893E+09  0.0000000E+00
  0.2000000E-03  0.5015117E+09  0.0000000E+00
  0.2100000E-03  0.5051766E+09  0.0000000E+00
  0.2200000E-03  0.5391025E+09  0.0000000E+00
  0.2300000E-03  0.5371198E+09  0.0000000E+00
  0.2400000E-03  0.5361760E+09  0.0000000E+00
  0.2500000E-03  0.4834104E+09  0.0000000E+00
  0.2600000E-03  0.4839921E+09  0.0000000E+00
  0.2700000E-03  0.4852006E+09  0.0000000E+00
  0.2800000E-03  0.4095847E+09  0.0000000E+00
  0.2900000E-03  0.4131581E+09  0.0000000E+00
  0.3000000E-03  0.4171788E+09  0.0000000E+00
  0.3100000E-03  0.3460474E+09  0.0000000E+00
  0.3200000E-03  0.3509936E+09  0.0000000E+00
  0.3300000E-03  0.3562338E+09  0.0000000E+00
