 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.1277207E+11  0.2554414E+12  0.2278122E+18  0.2761721E+16  0.7190600E+10  0.3523607E+11  0.2305742E+18  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.2043654E+12  0.9378151E+12  0.2278112E+18  0.8200909E+16  0.3501961E+11  0.1293640E+12  0.2360134E+18  0.1103747E+08  0.3366344E+07
  0.3000000E-04  0.4112508E+12  0.1940782E+13  0.2278096E+18  0.1428425E+17  0.8401038E+11  0.2677152E+12  0.2420965E+18  0.1394162E+09  0.1005844E+09
  0.4000000E-04  0.6645407E+12  0.3185614E+13  0.2278074E+18  0.1835795E+17  0.1439806E+12  0.4418629E+12  0.2461698E+18  0.5112594E+09  0.8268886E+09
  0.5000000E-04  0.9510907E+12  0.4596871E+13  0.2278048E+18  0.2245183E+17  0.2158664E+12  0.6376123E+12  0.2502630E+18  0.1050562E+10  0.4180577E+10
  0.6000000E-04  0.1259282E+13  0.6121705E+13  0.2278017E+18  0.2616595E+17  0.2979183E+12  0.8491157E+12  0.2539761E+18  0.1812745E+10  0.1510203E+11
  0.7000000E-04  0.1597166E+13  0.7929743E+13  0.2277981E+18  0.3501417E+17  0.3939523E+12  0.1171593E+13  0.2628233E+18  0.2727720E+10  0.4168724E+11
  0.8000000E-04  0.1945452E+13  0.9556514E+13  0.2277941E+18  0.3417866E+17  0.5089425E+12  0.1411942E+13  0.2619862E+18  0.3125111E+10  0.8398404E+11
  0.9000000E-04  0.2273113E+13  0.1119603E+14  0.2277898E+18  0.3502033E+17  0.6163326E+12  0.1654176E+13  0.2628258E+18  0.3812968E+10  0.1394876E+12
  0.1000000E-03  0.2777076E+13  0.1484265E+14  0.2277849E+18  0.5336959E+17  0.7817438E+12  0.2638668E+13  0.2811755E+18  0.4583735E+10  0.2223280E+12
  0.1100000E-03  0.3278290E+13  0.1631369E+14  0.2277796E+18  0.4708306E+17  0.9241988E+12  0.2900183E+13  0.2748860E+18  0.1697216E+11  0.4205594E+12
  0.1200000E-03  0.3561431E+13  0.1774798E+14  0.2277740E+18  0.4437924E+17  0.1041366E+13  0.3155165E+13  0.2721787E+18  0.1741450E+11  0.8377946E+12
  0.1300000E-03  0.4188561E+13  0.2331632E+14  0.2277679E+18  0.1477457E+18  0.1638974E+13  0.5842845E+13  0.3755485E+18  0.1895221E+11  0.1470134E+13
  0.1400000E-03  0.4796042E+13  0.2417443E+14  0.2277613E+18  0.1194593E+18  0.2014210E+13  0.6057880E+13  0.3472576E+18  0.1459139E+12  0.3656926E+13
  0.1500000E-03  0.4961026E+13  0.2504696E+14  0.2277546E+18  0.1041487E+18  0.2258314E+13  0.6276528E+13  0.3319419E+18  0.1332929E+12  0.9093963E+13
  0.1600000E-03  0.4612102E+13  0.2269099E+14  0.2277480E+18  0.2659533E+18  0.2950169E+13  0.1103308E+14  0.4937426E+18  0.1314580E+12  0.1670891E+14
  0.1700000E-03  0.4455928E+13  0.2314483E+14  0.2277416E+18  0.2108706E+18  0.3389726E+13  0.1125375E+14  0.4386544E+18  0.4626706E+12  0.3104909E+14
  0.1800000E-03  0.4549856E+13  0.2370079E+14  0.2277350E+18  0.1786048E+18  0.3664930E+13  0.1152407E+14  0.4063833E+18  0.3811607E+12  0.5640452E+14
  0.1900000E-03  0.3176806E+13  0.1239752E+14  0.2277294E+18  0.2052890E+18  0.3595867E+13  0.1384593E+14  0.4330514E+18  0.3377994E+12  0.8691039E+14
  0.2000000E-03  0.2383370E+13  0.1294218E+14  0.2277246E+18  0.1745136E+18  0.3683713E+13  0.1445421E+14  0.4022716E+18  0.2803145E+12  0.1192100E+15
  0.2100000E-03  0.2484479E+13  0.1352420E+14  0.2277197E+18  0.1540877E+18  0.3827725E+13  0.1510423E+14  0.3818423E+18  0.2271197E+12  0.1515086E+15
