 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.3941998E+10  0.7883995E+11  0.7031239E+17  0.8523831E+15  0.2219321E+10  0.1087533E+11  0.7116487E+17  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.6307574E+11  0.2894491E+12  0.7031209E+17  0.2530327E+16  0.1080556E+11  0.3992715E+11  0.7284282E+17  0.1051308E+07  0.3207010E+06
  0.3000000E-04  0.1269293E+12  0.5990069E+12  0.7031160E+17  0.4403000E+16  0.2590721E+11  0.8262814E+11  0.7471543E+17  0.1328317E+08  0.9582478E+07
  0.4000000E-04  0.2048941E+12  0.9806747E+12  0.7031093E+17  0.5724740E+16  0.4458941E+11  0.1355068E+12  0.7603704E+17  0.4877973E+08  0.7878752E+08
  0.5000000E-04  0.2928088E+12  0.1413686E+13  0.7031012E+17  0.7081225E+16  0.6732043E+11  0.1953390E+12  0.7739331E+17  0.1027341E+09  0.3619540E+09
  0.6000000E-04  0.3874159E+12  0.1881654E+13  0.7030916E+17  0.8324989E+16  0.9355070E+11  0.2600015E+12  0.7863677E+17  0.1790493E+09  0.1178687E+10
  0.7000000E-04  0.4867649E+12  0.2381802E+13  0.7030806E+17  0.9692110E+16  0.1216479E+12  0.3351356E+12  0.8000350E+17  0.2704717E+09  0.3026627E+10
  0.8000000E-04  0.5888172E+12  0.2885666E+13  0.7030685E+17  0.1035798E+17  0.1520223E+12  0.4060326E+12  0.8066886E+17  0.3757650E+09  0.7033845E+10
  0.9000000E-04  0.6905156E+12  0.3392501E+13  0.7030552E+17  0.1099909E+17  0.1831680E+12  0.4773477E+12  0.8130935E+17  0.4818090E+09  0.1491560E+11
  0.1000000E-03  0.7986642E+12  0.3988929E+13  0.7030408E+17  0.1579025E+17  0.2266444E+12  0.5989880E+12  0.8609994E+17  0.5813055E+09  0.2817801E+11
  0.1100000E-03  0.9056870E+12  0.4475139E+13  0.7030254E+17  0.1441139E+17  0.2711651E+12  0.6719986E+12  0.8472025E+17  0.7941753E+09  0.4608753E+11
  0.1200000E-03  0.1000177E+13  0.4948648E+13  0.7030091E+17  0.1400053E+17  0.3092847E+12  0.7431019E+12  0.8430844E+17  0.8851555E+09  0.6688538E+11
  0.1300000E-03  0.1172524E+13  0.6277500E+13  0.7029914E+17  0.1945069E+17  0.3520701E+12  0.1075702E+13  0.8975870E+17  0.9716612E+09  0.9299827E+11
  0.1400000E-03  0.1338340E+13  0.6666054E+13  0.7029723E+17  0.1694486E+17  0.3918643E+12  0.1142284E+13  0.8725163E+17  0.2556528E+10  0.1464403E+12
  0.1500000E-03  0.1412216E+13  0.7041068E+13  0.7029527E+17  0.1579024E+17  0.4247671E+12  0.1206545E+13  0.8609559E+17  0.2444343E+10  0.2411896E+12
  0.1600000E-03  0.1592517E+13  0.8611520E+13  0.7029317E+17  0.3872244E+17  0.5670486E+12  0.1820021E+13  0.1090282E+18  0.2485266E+10  0.3652313E+12
  0.1700000E-03  0.1760061E+13  0.8820037E+13  0.7029096E+17  0.3130465E+17  0.6580914E+12  0.1864090E+13  0.1016087E+18  0.1168717E+11  0.6445316E+12
  0.1800000E-03  0.1798865E+13  0.9017835E+13  0.7028872E+17  0.2715167E+17  0.7105587E+12  0.1905894E+13  0.9745382E+17  0.1092048E+11  0.1159312E+13
  0.1900000E-03  0.1919014E+13  0.1030115E+14  0.7028639E+17  0.7410480E+17  0.1020045E+13  0.3072600E+13  0.1444075E+18  0.1027912E+11  0.1781841E+13
  0.2000000E-03  0.2037211E+13  0.1031677E+14  0.7028398E+17  0.5912208E+17  0.1190887E+13  0.3077257E+13  0.1294227E+18  0.5046308E+11  0.3120887E+13
