 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.3373851E+07  0.3204403E+08 -0.6354999E+09  0.7355450E+14  0.1201746E+09  0.0000000E+00  0.0000000E+00 -0.8117929E+09  0.5824872E+11  0.3112117E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.1001180E+08  0.1600612E+09 -0.2892059E+10  0.2366585E+15  0.8047019E+09  0.0000000E+00  0.0000000E+00 -0.3692956E+10  0.2650144E+12  0.1549786E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.1253366E+08  0.4029006E+09 -0.6699789E+10  0.4355334E+15  0.2441181E+10  0.0000000E+00  0.0000000E+00 -0.8534258E+10  0.6137225E+12  0.3891523E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04 -0.9722017E+07  0.7430801E+09 -0.1153686E+11  0.6314069E+15  0.5186013E+10  0.0000000E+00  0.0000000E+00 -0.1465687E+11  0.1057943E+13  0.7175118E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04 -0.4874399E+08  0.1191270E+10 -0.1714010E+11  0.8227118E+15  0.9094106E+10  0.0000000E+00  0.0000000E+00 -0.2160790E+11  0.1571632E+13  0.1145843E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04 -0.1037764E+09  0.1726016E+10 -0.2315677E+11  0.1001772E+16  0.1412091E+11  0.0000000E+00  0.0000000E+00 -0.2888180E+11  0.2122280E+13  0.1653763E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04 -0.5211109E+08  0.2214938E+10 -0.2946402E+11  0.1209419E+16  0.2016374E+11  0.0000000E+00  0.0000000E+00 -0.3485537E+11  0.2698336E+13  0.2131636E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04 -0.1436460E+09  0.2740858E+10 -0.3543066E+11  0.1352469E+16  0.2709758E+11  0.0000000E+00  0.0000000E+00 -0.4097160E+11  0.3244804E+13  0.2647544E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04 -0.2423949E+09  0.3267140E+10 -0.4118518E+11  0.1483878E+16  0.3475921E+11  0.0000000E+00  0.0000000E+00 -0.4666361E+11  0.3770334E+13  0.3165715E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03 -0.1805924E+09  0.4329085E+10 -0.5613098E+11  0.2146462E+16  0.4460267E+11  0.0000000E+00  0.0000000E+00 -0.6441252E+11  0.5146645E+13  0.4001588E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1100000E-03  0.6301281E+08  0.5096220E+10 -0.6165545E+11  0.2096608E+16  0.5518348E+11  0.0000000E+00  0.0000000E+00 -0.7113358E+11  0.5634236E+13  0.4680355E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1200000E-03  0.1437848E+09  0.5838688E+10 -0.6562734E+11  0.2080212E+16  0.6566475E+11  0.0000000E+00  0.0000000E+00 -0.7707280E+11  0.5983517E+13  0.5343519E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1300000E-03  0.1350937E+10  0.5930304E+10 -0.4627503E+11  0.1965031E+16  0.6562130E+11  0.0000000E+00  0.0000000E+00 -0.7051143E+11  0.4004039E+13  0.5168736E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1400000E-03  0.3339990E+09  0.6177674E+10 -0.5411032E+11  0.1772620E+16  0.7033661E+11  0.0000000E+00  0.0000000E+00 -0.7576267E+11  0.4721006E+13  0.5372790E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1500000E-03 -0.5556293E+09  0.6447393E+10 -0.5829194E+11  0.1688629E+16  0.7671998E+11  0.0000000E+00  0.0000000E+00 -0.7859514E+11  0.5109269E+13  0.5604541E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1600000E-03 -0.2950891E+10  0.7237782E+10 -0.7278456E+11  0.3285867E+16  0.8204610E+11  0.0000000E+00  0.0000000E+00 -0.9085235E+11  0.5960274E+13  0.5876094E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1700000E-03 -0.3348377E+10  0.7464305E+10 -0.8295553E+11  0.2757675E+16  0.9170981E+11  0.0000000E+00  0.0000000E+00 -0.9439490E+11  0.6836906E+13  0.6032241E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1800000E-03 -0.3733999E+10  0.7703398E+10 -0.8785710E+11  0.2481221E+16  0.1020767E+12  0.0000000E+00  0.0000000E+00 -0.9546108E+11  0.7285328E+13  0.6207984E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1900000E-03 -0.6351299E+10  0.6251335E+10 -0.1500713E+12  0.7535937E+16  0.1238959E+12  0.0000000E+00  0.0000000E+00 -0.5053192E+11  0.1092169E+14  0.4468903E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
